Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Michael Onwenu,G,64,100%,0,0%,5,19%,0,Patriots,10.0,2024,141
Ben Brown,G,64,100%,0,0%,5,19%,0,Patriots,10.0,2024,141
Demontrey Jacobs,T,64,100%,0,0%,5,19%,0,Patriots,10.0,2024,141
Michael Jordan,G,64,100%,0,0%,5,19%,0,Patriots,10.0,2024,141
Drake Maye,QB,64,100%,0,0%,0,0%,0,Patriots,10.0,2024,141
Vederian Lowe,T,64,100%,0,0%,0,0%,0,Patriots,10.0,2024,141
Kayshon Boutte,WR,62,97%,0,0%,0,0%,0,Patriots,10.0,2024,141
Hunter Henry,TE,57,89%,0,0%,0,0%,0,Patriots,10.0,2024,141
Rhamondre Stevenson,RB,45,70%,0,0%,0,0%,0,Patriots,10.0,2024,141
Austin Hooper,TE,41,64%,0,0%,6,22%,0,Patriots,10.0,2024,141
K.J. Osborn,WR,29,45%,0,0%,0,0%,0,Patriots,10.0,2024,141
Demario Douglas,WR,27,42%,0,0%,0,0%,0,Patriots,10.0,2024,141
Ja'Lynn Polk,WR,26,41%,0,0%,0,0%,0,Patriots,10.0,2024,141
Jamycal Hasty,RB,12,19%,0,0%,4,15%,0,Patriots,10.0,2024,141
Antonio Gibson,RB,7,11%,0,0%,2,7%,0,Patriots,10.0,2024,141
Sidy Sow,G,6,9%,0,0%,5,19%,0,Patriots,10.0,2024,141
Javon Baker,WR,4,6%,0,0%,5,19%,0,Patriots,10.0,2024,141
Jaheim Bell,TE,2,3%,0,0%,11,41%,0,Patriots,10.0,2024,141
Mitchell Wilcox,TE,1,2%,0,0%,11,41%,0,Patriots,10.0,2024,141
Layden Robinson,G,1,2%,0,0%,0,0%,0,Patriots,10.0,2024,141
Jahlani Tavai,LB,0,0%,60,100%,13,48%,0,Patriots,10.0,2024,141
Christian Gonzalez,CB,0,0%,60,100%,0,0%,0,Patriots,10.0,2024,141
Anfernee Jennings,LB,0,0%,56,93%,0,0%,0,Patriots,10.0,2024,141
Keion White,DE,0,0%,54,90%,0,0%,0,Patriots,10.0,2024,141
Jonathan Jones,CB,0,0%,52,87%,1,4%,0,Patriots,10.0,2024,141
Jaylinn Hawkins,FS,0,0%,49,82%,16,59%,0,Patriots,10.0,2024,141
Daniel Ekuale,DT,0,0%,41,68%,5,19%,0,Patriots,10.0,2024,141
Marcus Jones,CB,0,0%,39,65%,8,30%,0,Patriots,10.0,2024,141
Dell Pettus,FS,0,0%,38,63%,13,48%,0,Patriots,10.0,2024,141
Jeremiah Pharms,DE,0,0%,35,58%,5,19%,0,Patriots,10.0,2024,141
Davon Godchaux,NT,0,0%,29,48%,0,0%,0,Patriots,10.0,2024,141
Deatrich Wise Jr.,DE,0,0%,28,47%,10,37%,0,Patriots,10.0,2024,141
Sione Takitaki,LB,0,0%,28,47%,9,33%,0,Patriots,10.0,2024,141
Marco Wilson,CB,0,0%,24,40%,8,30%,0,Patriots,10.0,2024,141
Marte Mapu,LB,0,0%,24,40%,1,4%,0,Patriots,10.0,2024,141
Isaiah Bolden,CB,0,0%,12,20%,11,41%,0,Patriots,10.0,2024,141
Joe Giles-Harris,LB,0,0%,8,13%,19,70%,0,Patriots,10.0,2024,141
Jaquelin Roy,NT,0,0%,7,12%,0,0%,0,Patriots,10.0,2024,141
Curtis Jacobs,LB,0,0%,6,10%,17,63%,0,Patriots,10.0,2024,141
Ochaun Mathis,LB,0,0%,5,8%,22,81%,0,Patriots,10.0,2024,141
Brenden Schooler,FS,0,0%,5,8%,22,81%,0,Patriots,10.0,2024,141
Marcellas Dial,CB,0,0%,0,0%,16,59%,0,Patriots,10.0,2024,141
Joe Cardona,LS,0,0%,0,0%,11,41%,0,Patriots,10.0,2024,141
Bryce Baringer,P,0,0%,0,0%,11,41%,0,Patriots,10.0,2024,141
Joey Slye,K,0,0%,0,0%,10,37%,0,Patriots,10.0,2024,141
Lecitus Smith,G,0,0%,0,0%,5,19%,0,Patriots,10.0,2024,141
