Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Kayshon Boutte,NWE,6,4,47,0,2.0,34,8.5,13,3.3,19.5,0,,0,0.0,0,90.3,10.0,2024,141
Demario Douglas,NWE,5,4,50,0,2.0,2,0.5,48,12.0,1.4,0,,1,20.0,0,108.3,10.0,2024,141
Austin Hooper,NWE,4,3,64,0,3.0,48,16.0,16,5.3,13.8,0,,0,0.0,1,77.1,10.0,2024,141
Jamycal Hasty,NWE,1,1,4,0,0.0,0,0.0,4,4.0,0.0,0,,0,0.0,0,83.3,10.0,2024,141
Hunter Henry,NWE,4,1,14,0,1.0,4,4.0,10,10.0,2.8,0,,0,0.0,0,41.7,10.0,2024,141
Ja'Lynn Polk,NWE,1,1,2,1,1.0,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,10.0,2024,141
Rhamondre Stevenson,NWE,1,1,3,0,0.0,-5,-5.0,8,8.0,-5.0,0,,0,0.0,0,79.2,10.0,2024,141
K.J. Osborn,NWE,1,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6,10.0,2024,141
Keenan Allen,CHI,6,5,44,0,2.0,28,5.6,16,3.2,6.5,0,,0,0.0,0,97.2,10.0,2024,141
D.J. Moore,CHI,6,3,24,0,1.0,10,3.3,14,4.7,4.5,0,,0,0.0,0,60.4,10.0,2024,141
Rome Odunze,CHI,6,3,23,0,2.0,12,4.0,11,3.7,11.2,0,,1,16.7,0,59.7,10.0,2024,141
Cole Kmet,CHI,4,2,13,0,1.0,12,6.0,1,0.5,4.8,0,,0,0.0,0,57.3,10.0,2024,141
DeAndre Carter,CHI,1,1,5,0,,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,10.0,2024,141
Roschon Johnson,CHI,2,1,5,0,,3,3.0,2,2.0,6.0,0,,0,0.0,0,56.2,10.0,2024,141
D'Andre Swift,CHI,1,1,6,0,0.0,2,2.0,4,4.0,2.0,0,,0,0.0,0,91.7,10.0,2024,141
