Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Cameron Heyward,PIT,0,0,0,0,1,2.0,2,2,0,2,2,0,0,0,0,10.0,2024,142
Preston Smith,PIT,0,0,0,0,0,1.0,3,3,0,2,1,0,0,0,0,10.0,2024,142
Patrick Queen,PIT,0,0,0,0,1,0.0,7,6,1,2,0,0,0,0,0,10.0,2024,142
DeShon Elliott,PIT,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0,10.0,2024,142
Joey Porter Jr.,PIT,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,10.0,2024,142
Elandon Roberts,PIT,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,10.0,2024,142
Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,10.0,2024,142
Beanie Bishop,PIT,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,10.0,2024,142
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,10.0,2024,142
Connor Heyward,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,10.0,2024,142
Donte Jackson,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,10.0,2024,142
James Pierre,PIT,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0,10.0,2024,142
Keeanu Benton,PIT,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,10.0,2024,142
Damontae Kazee,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,10.0,2024,142
Miles Killebrew,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,10.0,2024,142
Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,10.0,2024,142
Payton Wilson,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,10.0,2024,142
Alex Highsmith,PIT,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,10.0,2024,142
Ben Skowronek,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,10.0,2024,142
T.J. Watt,PIT,0,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,10.0,2024,142
Jeremy Chinn,WAS,1,0,0,0,1,0.0,13,6,7,0,0,1,0,0,0,10.0,2024,142
Dante Fowler,WAS,0,0,0,0,0,2.0,5,3,2,2,2,0,0,0,0,10.0,2024,142
Frankie Luvu,WAS,0,0,0,0,0,1.0,7,3,4,1,2,0,0,0,0,10.0,2024,142
Sheldon Day,WAS,0,0,0,0,0,0.0,8,4,4,1,0,0,0,0,0,10.0,2024,142
Bobby Wagner,WAS,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0,10.0,2024,142
Quan Martin,WAS,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,1,10.0,2024,142
Daron Payne,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,10.0,2024,142
Mike Sainristil,WAS,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0,10.0,2024,142
Benjamin St-Juste,WAS,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,10.0,2024,142
Clelin Ferrell,WAS,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,10.0,2024,142
Noah Igbinoghene,WAS,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,10.0,2024,142
Phidarian Mathis,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,10.0,2024,142
Jer'Zhan Newton,WAS,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,10.0,2024,142
Jeremy Reaves,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,10.0,2024,142
Mykal Walker,WAS,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,10.0,2024,142
Percy Butler,WAS,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,10.0,2024,142
Jalyn Holmes,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,10.0,2024,142
Tyler Owens,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,10.0,2024,142
Dorance Armstrong Jr.,WAS,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,10.0,2024,142
Nick Bellore,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,10.0,2024,142
Michael Davis,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,10.0,2024,142
Jeremy McNichols,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,10.0,2024,142
Efe Obada,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,10.0,2024,142
Olamide Zaccheaus,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,10.0,2024,142
