Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Aaron Banks,G,63,100%,0,0%,3,14%,1,49ers,11.0,2024,162
Dominick Puni,G,63,100%,0,0%,3,14%,1,49ers,11.0,2024,162
Colton McKivitz,T,63,100%,0,0%,3,14%,1,49ers,11.0,2024,162
Trent Williams,T,63,100%,0,0%,0,0%,1,49ers,11.0,2024,162
Jake Brendel,C,63,100%,0,0%,0,0%,1,49ers,11.0,2024,162
Brock Purdy,QB,63,100%,0,0%,0,0%,1,49ers,11.0,2024,162
Eric Saubert,TE,61,97%,0,0%,10,48%,1,49ers,11.0,2024,162
Jauan Jennings,WR,60,95%,0,0%,0,0%,1,49ers,11.0,2024,162
Christian McCaffrey,RB,59,94%,0,0%,0,0%,1,49ers,11.0,2024,162
Deebo Samuel,WR,55,87%,0,0%,0,0%,1,49ers,11.0,2024,162
Ricky Pearsall,WR,37,59%,0,0%,0,0%,1,49ers,11.0,2024,162
Kyle Juszczyk,FB,23,37%,0,0%,0,0%,1,49ers,11.0,2024,162
Jaylon Moore,T,12,19%,0,0%,3,14%,1,49ers,11.0,2024,162
Chris Conley,WR,3,5%,0,0%,14,67%,1,49ers,11.0,2024,162
Jordan Mason,RB,2,3%,0,0%,9,43%,1,49ers,11.0,2024,162
Isaac Guerendo,RB,2,3%,0,0%,8,38%,1,49ers,11.0,2024,162
Jacob Cowing,WR,1,2%,0,0%,2,10%,1,49ers,11.0,2024,162
Fred Warner,LB,0,0%,60,100%,4,19%,1,49ers,11.0,2024,162
Ji'Ayir Brown,SS,0,0%,60,100%,4,19%,1,49ers,11.0,2024,162
De'Vondre Campbell,LB,0,0%,60,100%,4,19%,1,49ers,11.0,2024,162
Malik Mustapha,FS,0,0%,60,100%,0,0%,1,49ers,11.0,2024,162
Deommodore Lenoir,CB,0,0%,59,98%,4,19%,1,49ers,11.0,2024,162
Renardo Green,CB,0,0%,56,93%,0,0%,1,49ers,11.0,2024,162
Isaac Yiadom,CB,0,0%,49,82%,10,48%,1,49ers,11.0,2024,162
Maliek Collins,DT,0,0%,46,77%,4,19%,1,49ers,11.0,2024,162
Leonard Floyd,DE,0,0%,38,63%,0,0%,1,49ers,11.0,2024,162
Yetur Gross-Matos,LB,0,0%,37,62%,1,5%,1,49ers,11.0,2024,162
Sam Okuayinonu,DE,0,0%,34,57%,2,10%,1,49ers,11.0,2024,162
Jordan Elliott,DT,0,0%,31,52%,4,19%,1,49ers,11.0,2024,162
Nick Bosa,DE,0,0%,26,43%,0,0%,1,49ers,11.0,2024,162
Evan Anderson,DT,0,0%,11,18%,4,19%,1,49ers,11.0,2024,162
Dee Winters,LB,0,0%,10,17%,14,67%,1,49ers,11.0,2024,162
Kalia Davis,DT,0,0%,10,17%,0,0%,1,49ers,11.0,2024,162
Robert Beal,DE,0,0%,9,15%,15,72%,1,49ers,11.0,2024,162
Rock Ya-Sin,CB,0,0%,3,5%,3,14%,1,49ers,11.0,2024,162
George Odum,FS,0,0%,1,2%,18,86%,1,49ers,11.0,2024,162
Demetrius Flannigan-Fowles,LB,0,0%,0,0%,14,67%,1,49ers,11.0,2024,162
Brayden Willis,TE,0,0%,0,0%,14,67%,1,49ers,11.0,2024,162
Jake Tonges,TE,0,0%,0,0%,13,62%,1,49ers,11.0,2024,162
Nick McCloud,CB,0,0%,0,0%,9,43%,1,49ers,11.0,2024,162
Jake Moody,K,0,0%,0,0%,7,33%,1,49ers,11.0,2024,162
Tashaun Gipson,FS,0,0%,0,0%,6,29%,1,49ers,11.0,2024,162
Taybor Pepper,LS,0,0%,0,0%,6,29%,1,49ers,11.0,2024,162
Pat O'Donnell,P,0,0%,0,0%,6,29%,1,49ers,11.0,2024,162
Tatum Bethune,LB,0,0%,0,0%,3,14%,1,49ers,11.0,2024,162
Spencer Burford,G,0,0%,0,0%,3,14%,1,49ers,11.0,2024,162
Nick Zakelj,G,0,0%,0,0%,3,14%,1,49ers,11.0,2024,162
