#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,8:53,DET 30,7,4:14,24,Punt,0,Lions,12.0,2024,173
2,1,1:19,DET 40,9,4:12,60,Touchdown,0,Lions,12.0,2024,173
3,2,8:16,DET 30,9,4:42,70,Touchdown,0,Lions,12.0,2024,173
4,2,1:45,DET 10,5,1:33,13,Punt,0,Lions,12.0,2024,173
5,3,15:00,DET 30,11,5:07,54,Downs,0,Lions,12.0,2024,173
6,3,7:41,DET 21,10,5:22,79,Touchdown,0,Lions,12.0,2024,173
7,3,0:12,DET 12,5,1:51,19,Punt,0,Lions,12.0,2024,173
8,4,12:53,DET 45,3,1:31,2,Punt,0,Lions,12.0,2024,173
9,4,10:08,DET 46,7,3:47,16,Field Goal,0,Lions,12.0,2024,173
10,4,4:42,DET 24,7,4:42,43,End of Game,0,Lions,12.0,2024,173
