Unnamed: 0,DET,IND,week,year,game_id
First Downs,26,11,12.0,2024,173
Rush-Yds-TDs,33-137-3,21-96-0,12.0,2024,173
Cmp-Att-Yd-TD-INT,26-36-269-0-0,11-28-172-0-0,12.0,2024,173
Sacked-Yards,3-16,0-0,12.0,2024,173
Net Pass Yards,253,172,12.0,2024,173
Total Yards,390,268,12.0,2024,173
Fumbles-Lost,1-0,2-0,12.0,2024,173
Turnovers,0,0,12.0,2024,173
Penalties-Yards,5-45,10-75,12.0,2024,173
Third Down Conv.,9-15,3-12,12.0,2024,173
Fourth Down Conv.,0-1,0-1,12.0,2024,173
Time of Possession,37:01,22:59,12.0,2024,173
