Player,Pos,home_team,team,week,year,game_id
Gardner Minshew II,QB,1,Raiders,12.0,2024,175
Ameer Abdullah,RB,1,Raiders,12.0,2024,175
DJ Turner,WR,1,Raiders,12.0,2024,175
Jakobi Meyers,WR,1,Raiders,12.0,2024,175
Brock Bowers,TE,1,Raiders,12.0,2024,175
Michael Mayer,TE,1,Raiders,12.0,2024,175
Delmar Glaze,OT,1,Raiders,12.0,2024,175
Kolton Miller,T,1,Raiders,12.0,2024,175
Jackson Powers-Johnson,OG,1,Raiders,12.0,2024,175
Jordan Meredith,G,1,Raiders,12.0,2024,175
Dylan Parham,G,1,Raiders,12.0,2024,175
Maxx Crosby,DE,1,Raiders,12.0,2024,175
John Jenkins,DT,1,Raiders,12.0,2024,175
Jonah Laulu,DT,1,Raiders,12.0,2024,175
Adam Butler,DT,1,Raiders,12.0,2024,175
Divine Deablo,LB,1,Raiders,12.0,2024,175
Robert Spillane,LB,1,Raiders,12.0,2024,175
Jack Jones,CB,1,Raiders,12.0,2024,175
Decamerion Richardson,CB,1,Raiders,12.0,2024,175
Thomas Harper,S,1,Raiders,12.0,2024,175
Tre'von Moehrig,S,1,Raiders,12.0,2024,175
Isaiah Pola-Mao,S,1,Raiders,12.0,2024,175
