Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
A.J. Brown,PHI,7,6,109,1,6.0,60,10.0,49,8.2,9.6,3,2.0,0,0.0,0,158.3,12.0,2024,178
Saquon Barkley,PHI,4,4,47,0,2.0,1,0.3,46,11.5,0.3,0,,0,0.0,0,115.6,12.0,2024,178
Dallas Goedert,PHI,5,4,19,0,1.0,13,3.3,6,1.5,6.2,0,,0,0.0,0,82.5,12.0,2024,178
Jahan Dotson,PHI,1,1,4,0,1.0,-3,-3.0,7,7.0,-3.0,0,,0,0.0,0,83.3,12.0,2024,178
Grant Calcaterra,PHI,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6,12.0,2024,178
Johnny Wilson,PHI,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6,12.0,2024,178
Puka Nacua,LAR,13,9,117,0,5.0,52,5.8,65,7.2,7.4,0,,0,0.0,0,97.3,12.0,2024,178
Cooper Kupp,LAR,11,8,60,1,1.0,37,4.6,23,2.9,4.9,0,,0,0.0,0,115.7,12.0,2024,178
Tutu Atwell,LAR,3,3,30,0,3.0,23,7.7,7,2.3,7.7,0,,0,0.0,0,108.3,12.0,2024,178
Demarcus Robinson,LAR,3,2,15,1,2.0,12,6.0,3,1.5,12.3,0,,0,0.0,0,118.1,12.0,2024,178
Tyler Johnson,LAR,1,1,11,0,1.0,10,10.0,1,1.0,10.0,0,,0,0.0,0,112.5,12.0,2024,178
Colby Parkinson,LAR,2,1,10,0,1.0,2,2.0,8,8.0,3.0,0,,0,0.0,0,64.6,12.0,2024,178
Davis Allen,LAR,1,0,0,0,,0,,0,,-1.0,0,,0,0.0,0,39.6,12.0,2024,178
