Player,Pos,home_team,team,week,year,game_id
Tua Tagovailoa,QB,1,Dolphins,12.0,2024,171
De'Von Achane,RB,1,Dolphins,12.0,2024,171
Jaylen Waddle,WR,1,Dolphins,12.0,2024,171
Tyreek Hill,WR,1,Dolphins,12.0,2024,171
Jonnu Smith,TE,1,Dolphins,12.0,2024,171
Julian Hill,TE,1,Dolphins,12.0,2024,171
Aaron Brewer,OL,1,Dolphins,12.0,2024,171
Liam Eichenberg,OL,1,Dolphins,12.0,2024,171
Robert Jones,OL,1,Dolphins,12.0,2024,171
Terron Armstead,T,1,Dolphins,12.0,2024,171
Kendall Lamm,T,1,Dolphins,12.0,2024,171
Benito Jones,DT,1,Dolphins,12.0,2024,171
Zach Sieler,DT,1,Dolphins,12.0,2024,171
Calais Campbell,DT,1,Dolphins,12.0,2024,171
Emmanuel Ogbah,LB,1,Dolphins,12.0,2024,171
Jordyn Brooks,LB,1,Dolphins,12.0,2024,171
Anthony Walker,LB,1,Dolphins,12.0,2024,171
Kader Kohou,CB,1,Dolphins,12.0,2024,171
Jalen Ramsey,CB,1,Dolphins,12.0,2024,171
Storm Duck,CB,1,Dolphins,12.0,2024,171
Jevon Holland,S,1,Dolphins,12.0,2024,171
Jordan Poyer,S,1,Dolphins,12.0,2024,171
