Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
A.J. Brown,PHI,6,5,66,0,4.0,52,10.4,14,2.8,14.7,1,5.0,0,0.0,0,112.5,13.0,2024,193
Dallas Goedert,PHI,4,3,35,1,3.0,13,4.3,22,7.3,5.8,1,3.0,0,0.0,0,140.6,13.0,2024,193
Saquon Barkley,PHI,4,2,10,0,0.0,-5,-2.5,15,7.5,-1.3,0,,0,0.0,0,56.2,13.0,2024,193
Jahan Dotson,PHI,1,1,7,0,,6,6.0,1,1.0,6.0,0,,0,0.0,0,95.8,13.0,2024,193
Parris Campbell,PHI,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6,13.0,2024,193
Britain Covey,PHI,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6,13.0,2024,193
Mark Andrews,BAL,7,6,67,1,3.0,58,9.7,9,1.5,10.3,0,,1,14.3,0,146.1,13.0,2024,193
Isaiah Likely,BAL,8,5,38,1,2.0,24,4.8,14,2.8,10.1,1,5.0,1,12.5,0,113.5,13.0,2024,193
Justice Hill,BAL,6,4,15,0,,-15,-3.8,30,7.5,-1.8,2,2.0,1,16.7,0,70.1,13.0,2024,193
Zay Flowers,BAL,7,3,74,0,3.0,60,20.0,14,4.7,20.3,1,3.0,0,0.0,0,81.8,13.0,2024,193
Derrick Henry,BAL,3,3,29,0,2.0,3,1.0,26,8.7,1.0,0,,0,0.0,0,106.9,13.0,2024,193
Tylan Wallace,BAL,2,2,14,0,1.0,8,4.0,6,3.0,4.0,0,,0,0.0,0,95.8,13.0,2024,193
Nelson Agholor,BAL,2,0,0,0,,0,,0,,27.5,0,,1,50.0,0,39.6,13.0,2024,193
