Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Geno Smith,SEA,2,2,0,3,13.0,2024,187
Kenneth Walker III,SEA,16,49,0,11,13.0,2024,187
Zach Charbonnet,SEA,4,28,1,11,13.0,2024,187
Jaxon Smith-Njigba,SEA,1,5,0,5,13.0,2024,187
D.K. Metcalf,SEA,0,0,0,0,13.0,2024,187
Noah Fant,SEA,0,0,0,0,13.0,2024,187
Tyler Lockett,SEA,0,0,0,0,13.0,2024,187
AJ Barner,SEA,0,0,0,0,13.0,2024,187
Pharaoh Brown,SEA,0,0,0,0,13.0,2024,187
Aaron Rodgers,NYJ,2,6,0,7,13.0,2024,187
Breece Hall,NYJ,12,60,0,12,13.0,2024,187
Braelon Allen,NYJ,5,11,0,4,13.0,2024,187
Malachi Corley,NYJ,1,8,0,8,13.0,2024,187
Isaiah Davis,NYJ,1,4,0,4,13.0,2024,187
Davante Adams,NYJ,0,0,0,0,13.0,2024,187
Garrett Wilson,NYJ,0,0,0,0,13.0,2024,187
Tyler Conklin,NYJ,0,0,0,0,13.0,2024,187
Jeremy Ruckert,NYJ,0,0,0,0,13.0,2024,187
Xavier Gipson,NYJ,0,0,0,0,13.0,2024,187
