Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss and deferred, Lions to receive the opening kickoff.",,,14.0,2024,196
1.0,15:00,,,GNB 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,196
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,David Montgomery right tackle for 2 yards (tackle by Kingsley Enagbare and Tedarrell Slaton),0.94,0.66,14.0,2024,196
1.0,14:28,2.0,8.0,DET 32,0.0,0.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Isaiah McDuffie and Keisean Nixon),0.66,0.76,14.0,2024,196
1.0,13:56,3.0,2.0,DET 38,0.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Javon Bullard),0.76,1.73,14.0,2024,196
1.0,13:26,1.0,10.0,DET 42,0.0,0.0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Keisean Nixon),1.73,1.19,14.0,2024,196
1.0,13:19,2.0,10.0,DET 42,0.0,0.0,David Montgomery up the middle for 13 yards (tackle by Xavier McKinney),1.19,2.59,14.0,2024,196
1.0,12:36,1.0,10.0,GNB 45,0.0,0.0,Jared Goff pass complete short right to Jahmyr Gibbs for 7 yards (tackle by Keisean Nixon and Javon Bullard),2.59,2.99,14.0,2024,196
1.0,11:59,2.0,3.0,GNB 38,0.0,0.0,Jared Goff pass incomplete short left intended for Jameson Williams (defended by Carrington Valentine),2.99,2.28,14.0,2024,196
1.0,11:53,3.0,3.0,GNB 38,0.0,0.0,Jared Goff pass complete short middle to Jameson Williams for 28 yards (tackle by Xavier McKinney),2.28,4.91,14.0,2024,196
1.0,11:13,1.0,10.0,GNB 10,0.0,0.0,"Jahmyr Gibbs left end for no gain (tackle by Evan Williams). Penalty on Dan Skipper: Offensive Holding, 10 yards (accepted) (no play)",4.91,4.24,14.0,2024,196
1.0,10:59,1.0,20.0,GNB 20,0.0,0.0,Jared Goff pass complete short right to Jahmyr Gibbs for 7 yards (tackle by Isaiah McDuffie and Keisean Nixon),4.24,3.72,14.0,2024,196
1.0,10:22,2.0,13.0,GNB 13,0.0,0.0,Jared Goff pass complete short right to Sam LaPorta for 6 yards (tackle by Keisean Nixon),3.72,3.81,14.0,2024,196
1.0,9:50,3.0,7.0,GNB 7,0.0,0.0,"Jared Goff pass incomplete short middle intended for Tim Patrick. Penalty on Keisean Nixon: Illegal Contact, 4 yards (accepted) (no play)",3.81,6.51,14.0,2024,196
1.0,9:44,1.0,3.0,GNB 3,0.0,6.0,"David Montgomery right end for 3 yards, touchdown",6.51,7.0,14.0,2024,196
1.0,9:41,,,GNB 15,0.0,7.0,Jake Bates kicks extra point good,0.0,0.0,14.0,2024,196
1.0,9:41,,,DET 35,0.0,7.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,196
1.0,9:41,1.0,10.0,GNB 30,0.0,7.0,Jordan Love sacked by Za'Darius Smith for -7 yards,0.94,-0.55,14.0,2024,196
1.0,8:57,2.0,17.0,GNB 23,0.0,7.0,Jordan Love scrambles right tackle for 8 yards (tackle by Jack Campbell),-0.55,-0.16,14.0,2024,196
1.0,8:14,3.0,9.0,GNB 31,0.0,7.0,"Jordan Love pass incomplete deep right intended for Jayden Reed. Penalty on Brian Branch: Defensive Pass Interference, 14 yards (accepted) (no play)",-0.16,1.93,14.0,2024,196
1.0,8:08,1.0,10.0,GNB 45,0.0,7.0,Josh Jacobs left tackle for 1 yard (tackle by Kwon Alexander and Alim McNeill),1.93,1.52,14.0,2024,196
1.0,7:39,2.0,9.0,GNB 46,0.0,7.0,Jordan Love pass complete short left to Dontayvion Wicks for 3 yards (tackle by Al-Quadin Muhammad),1.52,1.22,14.0,2024,196
1.0,6:51,3.0,6.0,GNB 49,0.0,7.0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,1.22,-0.13,14.0,2024,196
1.0,6:45,4.0,6.0,GNB 49,0.0,7.0,"Daniel Whelan punts 43 yards, fair catch by Maurice Alexander at DET-8",-0.13,0.38,14.0,2024,196
1.0,6:38,1.0,10.0,DET 8,0.0,7.0,Jahmyr Gibbs right tackle for 2 yards (tackle by Lukas Van Ness),-0.38,-0.63,14.0,2024,196
1.0,6:06,2.0,8.0,DET 10,0.0,7.0,Jahmyr Gibbs left end for 3 yards (tackle by Quay Walker and Isaiah McDuffie),-0.63,-0.84,14.0,2024,196
1.0,5:29,3.0,5.0,DET 13,0.0,7.0,Jared Goff sacked by Rashan Gary for -3 yards,-0.84,-2.49,14.0,2024,196
1.0,4:49,4.0,8.0,DET 10,0.0,7.0,"Jack Fox punts 42 yards, fair catch by Jayden Reed at GB-48",-2.49,-2.13,14.0,2024,196
1.0,4:41,1.0,10.0,GNB 48,0.0,7.0,Josh Jacobs up the middle for 5 yards (tackle by Mitchell Agude),2.13,2.26,14.0,2024,196
1.0,4:04,2.0,5.0,DET 47,0.0,7.0,Jordan Love pass incomplete short left intended for Jayden Reed,2.26,1.55,14.0,2024,196
1.0,4:01,3.0,5.0,DET 47,0.0,7.0,Jordan Love pass incomplete short left intended for Christian Watson,1.55,0.13,14.0,2024,196
1.0,3:57,4.0,5.0,DET 47,0.0,7.0,"Penalty on Daniel Whelan: Delay of Game, 5 yards (accepted) (no play)",0.13,-0.19,14.0,2024,196
1.0,3:57,4.0,10.0,GNB 48,0.0,7.0,"Daniel Whelan punts 41 yards, fair catch by Maurice Alexander at DET-11",-0.19,0.37,14.0,2024,196
1.0,3:50,1.0,10.0,DET 11,0.0,7.0,Jared Goff pass complete short left to Jameson Williams for 6 yards (tackle by Carrington Valentine),-0.37,-0.16,14.0,2024,196
1.0,3:28,2.0,4.0,DET 17,0.0,7.0,Jared Goff pass incomplete short right,-0.16,-0.72,14.0,2024,196
1.0,3:14,3.0,4.0,DET 17,0.0,7.0,"Jahmyr Gibbs up the middle for 4 yards (tackle by Isaiah McDuffie and Kenny Clark) GNB challenged the short of the line to gain ruling, and the play was upheld.",-0.72,0.34,14.0,2024,196
1.0,2:34,1.0,10.0,DET 21,0.0,7.0,Jahmyr Gibbs right end for no gain (tackle by Kenny Clark),0.34,-0.2,14.0,2024,196
1.0,1:58,2.0,10.0,DET 21,0.0,7.0,Jahmyr Gibbs left end for 5 yards (tackle by Kenny Clark),-0.2,-0.23,14.0,2024,196
1.0,1:23,3.0,5.0,DET 26,0.0,7.0,Jahmyr Gibbs left tackle for -3 yards (tackle by Colby Wooden),-0.23,-1.83,14.0,2024,196
1.0,0:42,4.0,8.0,DET 23,0.0,7.0,"Jack Fox punts 50 yards, fair catch by Jayden Reed at GB-27. Penalty on Robert Rochell: Defensive Holding, 10 yards (accepted)",-1.83,0.06,14.0,2024,196
1.0,0:35,1.0,10.0,GNB 17,0.0,7.0,Josh Jacobs right tackle for 7 yards (tackle by Myles Adams),-0.06,0.48,14.0,2024,196
2.0,15:00,2.0,3.0,GNB 24,0.0,7.0,"Jordan Love pass complete short right to Christian Watson for 20 yards. Christian Watson fumbles (tackle by Kerby Joseph), recovered by David Long at DET-46 (tackle by Kerby Joseph)",0.48,-1.99,14.0,2024,196
2.0,14:50,1.0,10.0,DET 46,0.0,7.0,Jared Goff pass complete short middle to Sam LaPorta for 10 yards (tackle by Quay Walker),1.99,2.65,14.0,2024,196
2.0,14:14,1.0,10.0,GNB 44,0.0,7.0,"David Montgomery right tackle for 4 yards (tackle by Isaiah McDuffie and Kenny Clark). Penalty on Quay Walker: Unnecessary Roughness / Defense, 15 yards (accepted)",2.65,3.91,14.0,2024,196
2.0,13:56,1.0,10.0,GNB 25,0.0,7.0,Jared Goff pass incomplete deep right intended for Brock Wright,3.91,3.36,14.0,2024,196
2.0,13:51,2.0,10.0,GNB 25,0.0,7.0,Jahmyr Gibbs up the middle for no gain (tackle by Devonte Wyatt),3.36,2.68,14.0,2024,196
2.0,13:09,3.0,10.0,GNB 25,0.0,7.0,Jared Goff pass incomplete short middle intended for Jameson Williams,2.68,1.8,14.0,2024,196
2.0,13:05,4.0,10.0,GNB 25,0.0,10.0,Jake Bates 43 yard field goal good,1.8,3.0,14.0,2024,196
2.0,13:01,,,DET 35,0.0,10.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,196
2.0,13:01,1.0,10.0,GNB 30,0.0,10.0,Josh Jacobs left tackle for 4 yards (tackle by Jack Campbell),0.94,0.93,14.0,2024,196
2.0,12:26,2.0,6.0,GNB 34,0.0,10.0,Josh Jacobs right tackle for 19 yards (tackle by Kerby Joseph),0.93,2.46,14.0,2024,196
2.0,11:32,1.0,10.0,DET 47,0.0,10.0,Emanuel Wilson right tackle for 7 yards (tackle by Al-Quadin Muhammad),2.46,2.86,14.0,2024,196
2.0,11:01,2.0,3.0,DET 40,0.0,10.0,Chris Brooks right tackle for 3 yards (tackle by Kwon Alexander and Pat O'Connor),2.86,3.12,14.0,2024,196
2.0,10:14,1.0,10.0,DET 37,0.0,10.0,"Penalty on Pat O'Connor: Encroachment, 5 yards (accepted) (no play)",3.12,3.85,14.0,2024,196
2.0,9:59,1.0,5.0,DET 32,0.0,10.0,Josh Jacobs up the middle for 2 yards (tackle by Trevor Nowaske and Jack Campbell),3.85,3.52,14.0,2024,196
2.0,9:18,2.0,3.0,DET 30,0.0,10.0,Josh Jacobs left tackle for 5 yards (tackle by Kerby Joseph and Jack Campbell),3.52,3.91,14.0,2024,196
2.0,8:51,1.0,10.0,DET 25,0.0,10.0,"Josh Jacobs left end for no gain (tackle by Kwon Alexander and Jack Campbell). Penalty on Elgton Jenkins: Offensive Holding, 10 yards (accepted) (no play)",3.91,3.25,14.0,2024,196
2.0,8:29,1.0,20.0,DET 35,0.0,10.0,Jordan Love pass complete short right to Tucker Kraft for 8 yards (tackle by Brian Branch),3.25,3.09,14.0,2024,196
2.0,7:42,2.0,12.0,DET 27,0.0,10.0,Jordan Love scrambles left end for 14 yards (tackle by Jack Campbell),3.09,4.71,14.0,2024,196
2.0,6:59,1.0,10.0,DET 13,0.0,10.0,"Josh Jacobs left end for no gain (tackle by Zeke Turner). Penalty on Za'Darius Smith: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",4.71,5.37,14.0,2024,196
2.0,6:41,1.0,8.0,DET 8,0.0,10.0,Josh Jacobs right tackle for 5 yards (tackle by Za'Darius Smith and Jack Campbell),5.37,5.53,14.0,2024,196
2.0,5:53,2.0,3.0,DET 3,0.0,10.0,Jordan Love pass incomplete short right intended for Tucker Kraft,5.53,4.72,14.0,2024,196
2.0,5:49,3.0,3.0,DET 3,0.0,10.0,"Jordan Love pass short left is intercepted by Carlton Davis in end zone and returned for no gain (tackle by Tucker Kraft). Penalty on Terrion Arnold: Defensive Pass Interference, 2 yards (accepted) (no play)",4.72,6.97,14.0,2024,196
2.0,5:38,1.0,1.0,DET 1,6.0,10.0,"Josh Jacobs left tackle for 1 yard, touchdown",6.97,7.0,14.0,2024,196
2.0,5:35,,,DET 15,7.0,10.0,Brandon McManus kicks extra point good,0.0,0.0,14.0,2024,196
2.0,5:35,,,GNB 35,7.0,10.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,196
2.0,5:35,1.0,10.0,DET 30,7.0,10.0,David Montgomery up the middle for 8 yards (tackle by Javon Bullard and Colby Wooden),0.94,1.47,14.0,2024,196
2.0,4:56,2.0,2.0,DET 38,7.0,10.0,Jared Goff pass complete deep middle to Jameson Williams for 20 yards (tackle by Quay Walker),1.47,2.79,14.0,2024,196
2.0,4:26,1.0,10.0,GNB 42,7.0,10.0,Jared Goff pass complete short left to David Montgomery for 5 yards (tackle by Colby Wooden),2.79,2.92,14.0,2024,196
2.0,3:50,2.0,5.0,GNB 37,7.0,10.0,Jared Goff pass incomplete short left intended for Jameson Williams,2.92,2.21,14.0,2024,196
2.0,3:45,3.0,5.0,GNB 37,7.0,10.0,Jared Goff pass complete short middle to David Montgomery for 6 yards (tackle by Eric Wilson and Isaiah McDuffie),2.21,3.51,14.0,2024,196
2.0,3:02,1.0,10.0,GNB 31,7.0,10.0,Jared Goff pass complete short right to Sam LaPorta for 13 yards (tackle by Keisean Nixon and Xavier McKinney),3.51,4.37,14.0,2024,196
2.0,2:02,1.0,10.0,GNB 18,7.0,10.0,Jahmyr Gibbs left end for 3 yards (tackle by Javon Bullard and Eric Stokes),4.37,4.25,14.0,2024,196
