Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Germain Ifedi,G,72,100%,0,0%,4,14%,0,Browns,14.0,2024,199
Joel Bitonio,G,72,100%,0,0%,4,14%,0,Browns,14.0,2024,199
Wyatt Teller,G,72,100%,0,0%,4,14%,0,Browns,14.0,2024,199
Jack Conklin,T,72,100%,0,0%,4,14%,0,Browns,14.0,2024,199
Ethan Pocic,C,72,100%,0,0%,0,0%,0,Browns,14.0,2024,199
Jameis Winston,QB,72,100%,0,0%,0,0%,0,Browns,14.0,2024,199
Jerry Jeudy,WR,66,92%,0,0%,0,0%,0,Browns,14.0,2024,199
David Njoku,TE,65,90%,0,0%,0,0%,0,Browns,14.0,2024,199
Michael Woods II,WR,63,88%,0,0%,8,28%,0,Browns,14.0,2024,199
Elijah Moore,WR,60,83%,0,0%,0,0%,0,Browns,14.0,2024,199
Jerome Ford,RB,40,56%,0,0%,6,21%,0,Browns,14.0,2024,199
Nick Chubb,RB,26,36%,0,0%,0,0%,0,Browns,14.0,2024,199
Jordan Akins,TE,13,18%,0,0%,15,52%,0,Browns,14.0,2024,199
Blake Whiteheart,TE,13,18%,0,0%,15,52%,0,Browns,14.0,2024,199
Pierre Strong,RB,7,10%,0,0%,18,62%,0,Browns,14.0,2024,199
Kadarius Toney,WR,5,7%,0,0%,6,21%,0,Browns,14.0,2024,199
James Proche,WR,2,3%,0,0%,3,10%,0,Browns,14.0,2024,199
Denzel Ward,CB,0,0%,65,100%,5,17%,0,Browns,14.0,2024,199
Jordan Hicks,LB,0,0%,65,100%,0,0%,0,Browns,14.0,2024,199
Grant Delpit,SS,0,0%,63,97%,9,31%,0,Browns,14.0,2024,199
Mohamoud Diabate,LB,0,0%,54,83%,13,45%,0,Browns,14.0,2024,199
Shelby Harris,DT,0,0%,53,82%,6,21%,0,Browns,14.0,2024,199
Dalvin Tomlinson,DT,0,0%,53,82%,5,17%,0,Browns,14.0,2024,199
Myles Garrett,DE,0,0%,49,75%,10,34%,0,Browns,14.0,2024,199
Martin Emerson,CB,0,0%,47,72%,0,0%,0,Browns,14.0,2024,199
Ogbonnia Okoronkwo,DE,0,0%,37,57%,4,14%,0,Browns,14.0,2024,199
Greg Newsome II,CB,0,0%,36,55%,6,21%,0,Browns,14.0,2024,199
Ronnie Hickman,SS,0,0%,34,52%,1,3%,0,Browns,14.0,2024,199
Isaiah McGuire,DE,0,0%,32,49%,1,3%,0,Browns,14.0,2024,199
Rodney McLeod,FS,0,0%,31,48%,14,48%,0,Browns,14.0,2024,199
Devin Bush Jr.,LB,0,0%,30,46%,11,38%,0,Browns,14.0,2024,199
Juan Thornhill,FS,0,0%,20,31%,0,0%,0,Browns,14.0,2024,199
Jowon Briggs,DT,0,0%,19,29%,6,21%,0,Browns,14.0,2024,199
Cameron Thomas,DE,0,0%,12,18%,1,3%,0,Browns,14.0,2024,199
T.Y. McGill,DT,0,0%,12,18%,0,0%,0,Browns,14.0,2024,199
Winston Reid,LB,0,0%,3,5%,25,86%,0,Browns,14.0,2024,199
D'Anthony Bell,SS,0,0%,0,0%,24,83%,0,Browns,14.0,2024,199
Khaleke Hudson,LB,0,0%,0,0%,19,66%,0,Browns,14.0,2024,199
Nathaniel Watson,LB,0,0%,0,0%,19,66%,0,Browns,14.0,2024,199
Cameron Mitchell,CB,0,0%,0,0%,13,45%,0,Browns,14.0,2024,199
Rex Sunahara,LS,0,0%,0,0%,9,31%,0,Browns,14.0,2024,199
Corey Bojorquez,P,0,0%,0,0%,9,31%,0,Browns,14.0,2024,199
Dustin Hopkins,K,0,0%,0,0%,7,24%,0,Browns,14.0,2024,199
Mike Ford,CB,0,0%,0,0%,7,24%,0,Browns,14.0,2024,199
Michael Dunn,G,0,0%,0,0%,4,14%,0,Browns,14.0,2024,199
Zak Zinter,G,0,0%,0,0%,4,14%,0,Browns,14.0,2024,199
