Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Raiders to receive the opening kickoff.",,,15.0,2024,224
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 61 yards, returned by Dylan Laube for 24 yards (tackle by Josh Woods)",0.0,0.81,15.0,2024,224
1.0,14:54,1.0,10.0,LVR 28,0.0,0.0,"Penalty on Kolton Miller: False Start, 5 yards (accepted) (no play)",0.81,0.48,15.0,2024,224
1.0,14:54,1.0,15.0,LVR 23,0.0,0.0,Sincere McCormick right guard for 5 yards (tackle by Kaden Elliss),0.48,0.26,15.0,2024,224
1.0,14:17,2.0,10.0,LVR 28,0.0,0.0,Desmond Ridder pass complete short right to Brock Bowers for 8 yards (tackle by Lorenzo Carter),0.26,0.63,15.0,2024,224
1.0,13:43,3.0,2.0,LVR 36,0.0,0.0,Sincere McCormick left guard for 1 yard (tackle by Kaden Elliss and Grady Jarrett),0.63,-0.91,15.0,2024,224
1.0,13:02,4.0,1.0,LVR 37,0.0,0.0,Desmond Ridder left guard for 3 yards (tackle by David Onyemata),-0.91,1.6,15.0,2024,224
1.0,12:30,1.0,10.0,LVR 40,0.0,0.0,Sincere McCormick right guard for 3 yards (tackle by Matt Judon),1.6,1.46,15.0,2024,224
1.0,11:50,2.0,7.0,LVR 43,0.0,0.0,Desmond Ridder pass complete short middle to Sincere McCormick for 2 yards (tackle by Kaden Elliss),1.46,1.03,15.0,2024,224
1.0,11:20,3.0,5.0,LVR 45,0.0,0.0,Desmond Ridder pass complete short right to Ameer Abdullah for 5 yards (tackle by Jessie Bates),1.03,2.26,15.0,2024,224
1.0,10:44,1.0,10.0,ATL 50,0.0,0.0,Jakobi Meyers sacked by Kaden Elliss for -10 yards,2.26,0.36,15.0,2024,224
1.0,10:03,2.0,20.0,LVR 40,0.0,0.0,Sincere McCormick up the middle for -3 yards (tackle by Ruke Orhorhoro),0.36,-0.69,15.0,2024,224
1.0,9:23,3.0,23.0,LVR 37,0.0,0.0,"Alexander Mattison up the middle for 7 yards. Alexander Mattison fumbles (tackle by JD Bertrand, recovered by Kevin King at LV-48",-0.69,-2.39,15.0,2024,224
1.0,9:15,1.0,10.0,LVR 48,0.0,0.0,Bijan Robinson left tackle for 6 yards (tackle by Robert Spillane),2.39,2.66,15.0,2024,224
1.0,8:41,2.0,4.0,LVR 42,0.0,0.0,"Penalty on Chris Lindstrom: False Start, 5 yards (accepted) (no play)",2.66,1.98,15.0,2024,224
1.0,8:25,2.0,9.0,LVR 47,0.0,0.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 14 yards (tackle by Isaiah Pola-Mao),1.98,3.38,15.0,2024,224
1.0,7:44,1.0,10.0,LVR 33,0.0,0.0,Bijan Robinson right tackle for 3 yards (tackle by Divine Deablo),3.38,3.24,15.0,2024,224
1.0,7:09,2.0,7.0,LVR 30,0.0,0.0,Kirk Cousins pass complete short right to Charlie Woerner for 2 yards (tackle by Jack Jones),3.24,2.81,15.0,2024,224
1.0,6:24,3.0,5.0,LVR 28,0.0,0.0,Kirk Cousins sacked by Jonah Laulu for -10 yards,2.81,0.72,15.0,2024,224
1.0,5:26,4.0,15.0,LVR 38,0.0,0.0,"Bradley Pinion punts 38 yards, touchback.",0.72,-0.28,15.0,2024,224
1.0,5:19,1.0,10.0,LVR 20,0.0,0.0,Sincere McCormick up the middle for -1 yards (tackle by Kentavius Street and Kaden Elliss),0.28,-0.46,15.0,2024,224
1.0,4:45,2.0,11.0,LVR 19,0.0,0.0,Desmond Ridder pass incomplete deep right intended for Michael Mayer (defended by Demone Harris),-0.46,-1.14,15.0,2024,224
1.0,4:37,3.0,11.0,LVR 19,0.0,0.0,Desmond Ridder pass complete short left to Ameer Abdullah for 2 yards (tackle by DeAundre Alford),-1.14,-1.96,15.0,2024,224
1.0,3:55,4.0,9.0,LVR 21,0.0,0.0,AJ Cole punts 30 yards downed by Ramel Keyton,-1.96,-2.19,15.0,2024,224
1.0,3:44,1.0,10.0,ATL 49,0.0,0.0,Bijan Robinson right guard for 10 yards (tackle by Jack Jones and Isaiah Pola-Mao),2.19,2.85,15.0,2024,224
1.0,3:02,1.0,10.0,LVR 41,0.0,0.0,Bijan Robinson left end for 8 yards (tackle by Robert Spillane),2.85,3.39,15.0,2024,224
1.0,2:26,2.0,2.0,LVR 33,0.0,0.0,Tyler Allgeier left end for -2 yards (tackle by K'Lavon Chaisson and Divine Deablo),3.39,2.41,15.0,2024,224
1.0,1:43,3.0,4.0,LVR 35,0.0,0.0,Kirk Cousins pass complete short right to Kyle Pitts for 5 yards (tackle by Adam Butler),2.41,3.58,15.0,2024,224
1.0,0:59,1.0,10.0,LVR 30,0.0,0.0,Tyler Allgeier right guard for no gain (tackle by Adam Butler and Divine Deablo),3.58,3.03,15.0,2024,224
1.0,0:19,2.0,10.0,LVR 30,6.0,0.0,"Kirk Cousins pass complete deep right to Drake London for 30 yards, touchdown",3.03,7.0,15.0,2024,224
1.0,0:14,,,LVR 15,7.0,0.0,Younghoe Koo kicks extra point good,0.0,0.0,15.0,2024,224
1.0,0:14,,,ATL 35,7.0,0.0,"Bradley Pinion kicks off 65 yards, touchback.",0.0,0.94,15.0,2024,224
1.0,0:14,1.0,10.0,LVR 30,7.0,0.0,Desmond Ridder scrambles left end for 8 yards (tackle by Demone Harris),0.94,1.47,15.0,2024,224
2.0,15:00,2.0,2.0,LVR 38,7.0,0.0,Sincere McCormick up the middle for 2 yards (tackle by David Onyemata and Grady Jarrett),1.47,1.6,15.0,2024,224
2.0,14:19,1.0,10.0,LVR 40,7.0,0.0,"Desmond Ridder pass complete short left to Sincere McCormick for 15 yards (tackle by Mike Hughes) ATL challenged the pass completion ruling, and the play was upheld.",1.6,2.59,15.0,2024,224
2.0,13:58,1.0,10.0,ATL 45,7.0,0.0,Sincere McCormick left guard for 1 yard (tackle by Kaden Elliss and Zach Harrison),2.59,2.18,15.0,2024,224
2.0,13:17,2.0,9.0,ATL 44,7.0,0.0,Desmond Ridder scrambles left end for 11 yards (tackle by Mike Hughes),2.18,3.38,15.0,2024,224
2.0,12:38,1.0,10.0,ATL 33,7.0,0.0,Desmond Ridder pass incomplete short left intended for Brock Bowers,3.38,2.84,15.0,2024,224
2.0,12:35,2.0,10.0,ATL 33,7.0,0.0,Ameer Abdullah right tackle for no gain (tackle by Kaden Elliss),2.84,2.15,15.0,2024,224
2.0,11:54,3.0,10.0,ATL 33,7.0,0.0,Desmond Ridder pass incomplete deep right intended for Brock Bowers,2.15,1.15,15.0,2024,224
2.0,11:49,4.0,10.0,ATL 33,7.0,3.0,Daniel Carlson 52 yard field goal good,1.15,3.0,15.0,2024,224
2.0,11:44,,,LVR 35,7.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.28,15.0,2024,224
2.0,11:44,1.0,10.0,ATL 20,7.0,3.0,Bijan Robinson left tackle for 3 yards (tackle by Robert Spillane),0.28,0.14,15.0,2024,224
2.0,11:18,2.0,7.0,ATL 23,7.0,3.0,Kirk Cousins pass complete short right to Bijan Robinson for 10 yards (tackle by Isaiah Pola-Mao),0.14,1.14,15.0,2024,224
2.0,10:32,1.0,10.0,ATL 33,7.0,3.0,Bijan Robinson left tackle for 14 yards (tackle by Isaiah Pola-Mao),1.14,2.06,15.0,2024,224
2.0,9:56,1.0,10.0,ATL 47,7.0,3.0,Bijan Robinson up the middle for 5 yards (tackle by K'Lavon Chaisson and John Jenkins),2.06,2.19,15.0,2024,224
2.0,9:19,2.0,5.0,LVR 48,7.0,3.0,Tyler Allgeier left end for 3 yards (tackle by Robert Spillane),2.19,1.88,15.0,2024,224
2.0,8:25,3.0,2.0,LVR 45,7.0,3.0,Bijan Robinson right guard for 3 yards (tackle by Adam Butler and Jack Jones),1.88,2.79,15.0,2024,224
2.0,7:47,1.0,10.0,LVR 42,7.0,3.0,Bijan Robinson right tackle for 2 yards (tackle by Tre'von Moehrig),2.79,2.51,15.0,2024,224
2.0,7:09,2.0,8.0,LVR 40,7.0,3.0,Kirk Cousins scrambles left guard for 2 yards (tackle by Jonah Laulu),2.51,2.08,15.0,2024,224
2.0,6:29,3.0,6.0,LVR 38,7.0,3.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,2.08,0.72,15.0,2024,224
2.0,6:24,4.0,6.0,LVR 38,7.0,3.0,"Penalty on ATL: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,15.0,2024,224
2.0,6:24,4.0,11.0,LVR 43,7.0,3.0,"Bradley Pinion punts 40 yards, fair catch by Ameer Abdullah at LV-3",0.4,0.38,15.0,2024,224
2.0,6:17,1.0,10.0,LVR 3,7.0,3.0,Alexander Mattison up the middle for -2 yards (tackle by Kentavius Street),-0.38,-0.93,15.0,2024,224
2.0,5:39,2.0,12.0,LVR 1,9.0,3.0,"Alexander Mattison up the middle for -1 yards (tackle by Zach Harrison), safety.",-0.93,-2.0,15.0,2024,224
2.0,5:35,,,LVR 20,9.0,3.0,"Daniel Carlson kicks off 73 yards, returned by Avery Williams for 28 yards (tackle by Thomas Harper and Amari Burney)",0.0,1.27,15.0,2024,224
2.0,5:29,1.0,10.0,ATL 35,9.0,3.0,Bijan Robinson up the middle for 4 yards (tackle by Zachary Carter),1.27,1.26,15.0,2024,224
2.0,4:56,2.0,6.0,ATL 39,9.0,3.0,Kirk Cousins pass incomplete short left intended for Bijan Robinson (defended by Divine Deablo),1.26,0.56,15.0,2024,224
2.0,4:53,3.0,6.0,ATL 39,9.0,3.0,Kirk Cousins pass complete short left to Drake London for 18 yards (tackle by Isaiah Pola-Mao and Decamerion Richardson),0.56,2.72,15.0,2024,224
2.0,4:05,1.0,10.0,LVR 43,9.0,3.0,Tyler Allgeier left tackle for 1 yard (tackle by Isaiah Pola-Mao),2.72,2.31,15.0,2024,224
2.0,3:40,2.0,9.0,LVR 42,9.0,3.0,"Penalty on Matthew Bergeron: False Start, 5 yards (accepted) (no play)",2.31,1.64,15.0,2024,224
2.0,3:19,2.0,14.0,LVR 47,9.0,3.0,Kirk Cousins pass complete short right to Charlie Woerner for 5 yards (tackle by Isaiah Pola-Mao),1.64,1.62,15.0,2024,224
2.0,2:46,,,,,,Timeout #1 by Las Vegas Raiders,,,15.0,2024,224
2.0,2:46,3.0,9.0,LVR 42,9.0,3.0,Kirk Cousins sacked by Adam Butler for -8 yards,1.62,-0.06,15.0,2024,224
2.0,2:01,4.0,17.0,LVR 50,9.0,3.0,"Bradley Pinion punts 42 yards, fair catch by Ameer Abdullah at LV-8",-0.06,0.38,15.0,2024,224
2.0,1:54,1.0,10.0,LVR 8,9.0,3.0,Desmond Ridder pass complete short right to Brock Bowers for 5 yards (tackle by Kaden Elliss and Lorenzo Carter),-0.38,-0.41,15.0,2024,224
2.0,1:47,,,,,,Timeout #2 by Atlanta Falcons,,,15.0,2024,224
2.0,1:47,2.0,5.0,LVR 13,9.0,3.0,Ameer Abdullah right tackle for 4 yards (tackle by Lorenzo Carter),-0.41,-0.37,15.0,2024,224
2.0,1:06,3.0,1.0,LVR 17,9.0,3.0,Alexander Mattison up the middle for 1 yard (tackle by Nathan Landman),-0.37,0.04,15.0,2024,224
