Player,Pos,home_team,team,week,year,game_id
Drake Maye,QB,0,Patriots,16.0,2024,236
Rhamondre Stevenson,RB,0,Patriots,16.0,2024,236
Kendrick Bourne,WR,0,Patriots,16.0,2024,236
Kayshon Boutte,WR,0,Patriots,16.0,2024,236
Demario Douglas,WR,0,Patriots,16.0,2024,236
Hunter Henry,TE,0,Patriots,16.0,2024,236
Michael Onwenu,OL,0,Patriots,16.0,2024,236
Demontrey Jacobs,OT,0,Patriots,16.0,2024,236
Vederian Lowe,T,0,Patriots,16.0,2024,236
Layden Robinson,G,0,Patriots,16.0,2024,236
Ben Brown,C,0,Patriots,16.0,2024,236
Keion White,DE,0,Patriots,16.0,2024,236
Davon Godchaux,DT,0,Patriots,16.0,2024,236
Daniel Ekuale,DT,0,Patriots,16.0,2024,236
Jeremiah Pharms,DT,0,Patriots,16.0,2024,236
Anfernee Jennings,LB,0,Patriots,16.0,2024,236
Jahlani Tavai,LB,0,Patriots,16.0,2024,236
Christian Gonzalez,CB,0,Patriots,16.0,2024,236
Alex Austin,CB,0,Patriots,16.0,2024,236
Jaylinn Hawkins,S,0,Patriots,16.0,2024,236
Marte Mapu,S,0,Patriots,16.0,2024,236
Kyle Dugger,S,0,Patriots,16.0,2024,236
