Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Spencer Rattler,NOR,1,1,16.0,2024,240
Jordan Mims,NOR,0,0,16.0,2024,240
Kendre Miller,NOR,0,0,16.0,2024,240
Jamaal Williams,NOR,0,0,16.0,2024,240
Foster Moreau,NOR,0,0,16.0,2024,240
Dante Pettis,NOR,0,0,16.0,2024,240
Juwan Johnson,NOR,0,0,16.0,2024,240
Kevin Austin,NOR,1,0,16.0,2024,240
Cedrick Wilson Jr.,NOR,0,0,16.0,2024,240
Mason Tipton,NOR,0,0,16.0,2024,240
Jordan Love,GNB,0,0,16.0,2024,240
Malik Willis,GNB,0,0,16.0,2024,240
Josh Jacobs,GNB,0,0,16.0,2024,240
Emanuel Wilson,GNB,0,0,16.0,2024,240
Chris Brooks,GNB,0,0,16.0,2024,240
Christian Watson,GNB,0,0,16.0,2024,240
Bo Melton,GNB,0,0,16.0,2024,240
Jayden Reed,GNB,0,0,16.0,2024,240
Tucker Kraft,GNB,0,0,16.0,2024,240
Romeo Doubs,GNB,0,0,16.0,2024,240
Dontayvion Wicks,GNB,0,0,16.0,2024,240
Luke Musgrave,GNB,0,0,16.0,2024,240
