Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Darius Slay,PHI,0,10,7,70.0%,69.0,9.9,6.9,0.0,89.2,7.4,42.0,27.0,0,0,0,0.0,0,7,0,0.0%,16.0,2024,234
Reed Blankenship,PHI,1,3,3,100.0%,28.0,9.3,9.3,1.0,105.6,9.0,27.0,1.0,0,0,0,0.0,0,5,1,16.7%,16.0,2024,234
Quinyon Mitchell,PHI,0,4,3,75.0%,47.0,15.7,11.8,1.0,153.1,16.0,46.0,1.0,0,0,0,0.0,0,0,0,,16.0,2024,234
Zack Baun,PHI,0,3,2,66.7%,12.0,6.0,4.0,0.0,74.3,5.3,-7.0,19.0,8,1,0,0.0,1,10,0,0.0%,16.0,2024,234
Nakobe Dean,PHI,0,3,2,66.7%,15.0,7.5,5.0,0.0,78.5,3.7,6.0,9.0,6,0,0,0.0,0,12,1,7.7%,16.0,2024,234
C.J. Gardner-Johnson,PHI,1,3,2,66.7%,9.0,4.5,3.0,1.0,70.1,4.3,5.0,4.0,0,0,0,0.0,0,1,0,0.0%,16.0,2024,234
Tristin McCollum,PHI,0,3,2,66.7%,12.0,6.0,4.0,1.0,113.9,1.7,7.0,5.0,0,0,0,0.0,0,5,0,0.0%,16.0,2024,234
Cooper DeJean,PHI,0,4,1,25.0%,8.0,8.0,2.0,0.0,39.6,1.3,-4.0,12.0,1,0,0,0.0,0,4,0,0.0%,16.0,2024,234
Isaiah Rodgers,PHI,0,2,1,50.0%,9.0,9.0,4.5,0.0,62.5,22.0,3.0,6.0,0,0,0,0.0,0,1,0,0.0%,16.0,2024,234
Kelee Ringo,PHI,0,1,1,100.0%,49.0,49.0,49.0,1.0,158.3,18.0,18.0,31.0,0,0,0,0.0,0,0,1,100.0%,16.0,2024,234
Jalen Carter,PHI,0,0,0,,,,,,,,,,0,2,0,0.0,2,3,3,50.0%,16.0,2024,234
Josh Sweat,PHI,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,1,0.0,1,1,0,0.0%,16.0,2024,234
Nolan Smith,PHI,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,16.0,2024,234
Jalyx Hunt,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%,16.0,2024,234
Marshon Lattimore,WAS,0,10,5,50.0%,68.0,13.6,6.8,1.0,105.4,12.6,60.0,8.0,0,0,0,0.0,0,4,0,0.0%,16.0,2024,234
Mike Sainristil,WAS,0,4,4,100.0%,42.0,10.5,10.5,0.0,110.4,8.5,34.0,8.0,0,0,0,0.0,0,7,0,0.0%,16.0,2024,234
Benjamin St-Juste,WAS,0,3,2,66.7%,23.0,11.5,7.7,0.0,89.6,5.0,9.0,14.0,0,0,0,0.0,0,1,1,50.0%,16.0,2024,234
Frankie Luvu,WAS,1,2,1,50.0%,6.0,6.0,3.0,0.0,16.7,6.0,5.0,1.0,17,0,0,0.0,0,7,0,0.0%,16.0,2024,234
Quan Martin,WAS,0,1,1,100.0%,4.0,4.0,4.0,0.0,83.3,4.0,4.0,0.0,0,0,0,0.0,0,4,0,0.0%,16.0,2024,234
Jeremy Chinn,WAS,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,4.0,4.0,1.0,1,0,0,0.0,0,6,0,0.0%,16.0,2024,234
Dante Fowler,WAS,0,1,0,0.0%,,,0.0,,39.6,4.0,,,3,1,0,1.0,2,2,0,0.0%,16.0,2024,234
Clelin Ferrell,WAS,0,0,0,,,,,,,,,,0,0,1,1.0,2,3,0,0.0%,16.0,2024,234
Jalyn Holmes,WAS,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,16.0,2024,234
Jer'Zhan Newton,WAS,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%,16.0,2024,234
Daron Payne,WAS,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%,16.0,2024,234
Sheldon Day,WAS,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,16.0,2024,234
Bobby Wagner,WAS,0,1,0,0.0%,,,0.0,,39.6,23.0,,,0,0,1,0.0,1,9,0,0.0%,16.0,2024,234
Dorance Armstrong Jr.,WAS,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,16.0,2024,234
Jordan Magee,WAS,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,16.0,2024,234
Noah Igbinoghene,WAS,0,2,0,0.0%,,,0.0,,39.6,1.5,,,0,0,0,0.0,0,2,0,0.0%,16.0,2024,234
Percy Butler,WAS,0,1,0,0.0%,6.0,,6.0,0.0,52.1,2.0,2.0,4.0,0,0,0,0.0,0,2,1,33.3%,16.0,2024,234
