Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Aaron Rodgers,NYJ,0,0,0,0,0,17.0,2024,247
Tyrod Taylor,NYJ,0,0,0,0,0,17.0,2024,247
Breece Hall,NYJ,1,1,8,0,8,17.0,2024,247
Isaiah Davis,NYJ,1,1,8,0,8,17.0,2024,247
Braelon Allen,NYJ,0,0,0,0,0,17.0,2024,247
Garrett Wilson,NYJ,8,7,66,1,28,17.0,2024,247
Tyler Conklin,NYJ,8,8,57,1,20,17.0,2024,247
Davante Adams,NYJ,8,5,47,0,22,17.0,2024,247
Allen Lazard,NYJ,3,1,9,0,9,17.0,2024,247
Kenny Yeboah,NYJ,2,0,0,0,0,17.0,2024,247
Josh Allen,BUF,0,0,0,0,0,17.0,2024,247
Mitchell Trubisky,BUF,0,0,0,0,0,17.0,2024,247
James Cook,BUF,0,0,0,0,0,17.0,2024,247
Ty Johnson,BUF,1,1,9,0,9,17.0,2024,247
Ray Davis,BUF,1,1,4,0,4,17.0,2024,247
Reggie Gilliam,BUF,0,0,0,0,0,17.0,2024,247
Tyrell Shavers,BUF,1,1,69,1,69,17.0,2024,247
Amari Cooper,BUF,3,3,56,1,30,17.0,2024,247
Mack Hollins,BUF,2,2,33,0,23,17.0,2024,247
Keon Coleman,BUF,7,3,27,1,14,17.0,2024,247
Khalil Shakir,BUF,6,3,25,0,12,17.0,2024,247
Dalton Kincaid,BUF,2,2,24,0,13,17.0,2024,247
Dawson Knox,BUF,3,1,4,0,4,17.0,2024,247
Quintin Morris,BUF,1,0,0,0,0,17.0,2024,247
