Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Geno Smith,SEA,0,0,0,0,0,17.0,2024,243
Zach Charbonnet,SEA,3,3,19,0,11,17.0,2024,243
Kenny McIntosh,SEA,0,0,0,0,0,17.0,2024,243
Noah Fant,SEA,5,4,43,0,15,17.0,2024,243
D.K. Metcalf,SEA,3,3,42,0,23,17.0,2024,243
Jaxon Smith-Njigba,SEA,6,3,32,0,19,17.0,2024,243
Tyler Lockett,SEA,4,3,20,0,15,17.0,2024,243
Pharaoh Brown,SEA,1,1,4,0,4,17.0,2024,243
Caleb Williams,CHI,0,0,0,0,0,17.0,2024,243
D'Andre Swift,CHI,5,4,28,0,24,17.0,2024,243
D.J. Moore,CHI,8,6,54,0,18,17.0,2024,243
Roschon Johnson,CHI,0,0,0,0,0,17.0,2024,243
Keenan Allen,CHI,8,5,25,0,16,17.0,2024,243
Rome Odunze,CHI,4,1,15,0,15,17.0,2024,243
Gerald Everett,CHI,1,0,0,0,0,17.0,2024,243
