Quarter,Time,Down,ToGo,Location,MIA,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,17.0,2024,253
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 65 yards, touchback.",0.0,0.94,17.0,2024,253
1.0,15:00,1.0,10.0,MIA 30,0.0,0.0,De'Von Achane left end for 9 yards (tackle by Juan Thornhill),0.94,1.61,17.0,2024,253
1.0,14:36,2.0,1.0,MIA 39,0.0,0.0,De'Von Achane right end for 1 yard (tackle by Denzel Ward),1.61,1.6,17.0,2024,253
1.0,13:57,1.0,10.0,MIA 40,0.0,0.0,De'Von Achane left end for 6 yards (tackle by Grant Delpit),1.6,1.86,17.0,2024,253
1.0,13:15,2.0,4.0,MIA 46,0.0,0.0,"Penalty on Alec Ingold: False Start, 5 yards (accepted) (no play)",1.86,1.19,17.0,2024,253
1.0,13:01,2.0,9.0,MIA 41,0.0,0.0,"Tyler Huntley pass complete short right to Tyreek Hill for 15 yards (tackle by Jordan Hicks and Mohamoud Diabate). Penalty on Isaiah Wynn: Unnecessary Roughness / Offense, 15 yards (accepted)",1.19,1.66,17.0,2024,253
1.0,12:39,1.0,10.0,MIA 41,0.0,0.0,"Tyler Huntley aborted snap, recovered by Tyler Huntley at MIA-32 and returned for -9 yards (tackle by Myles Garrett)",1.66,-0.1,17.0,2024,253
1.0,11:59,2.0,19.0,MIA 32,0.0,0.0,"Tyler Huntley pass complete short left to De'Von Achane for 1 yard (tackle by Grant Delpit). Penalty on Tyreek Hill: Offensive Holding, 10 yards (declined)",-0.1,-0.63,17.0,2024,253
1.0,11:41,3.0,18.0,MIA 33,0.0,0.0,Tyler Huntley pass complete short middle to Raheem Mostert for 13 yards (tackle by Grant Delpit),-0.63,-0.32,17.0,2024,253
1.0,10:58,4.0,5.0,MIA 46,0.0,0.0,"Jake Bailey punts 35 yards, fair catch by James Proche at CLE-19",-0.32,-0.15,17.0,2024,253
1.0,10:49,1.0,10.0,CLE 19,0.0,0.0,Jerome Ford left tackle for no gain (tackle by Tyrel Dodson and Calais Campbell),0.15,-0.39,17.0,2024,253
1.0,10:17,2.0,10.0,CLE 19,0.0,0.0,Dorian Thompson-Robinson pass complete short right to Jerry Jeudy for 4 yards (tackle by Tyrel Dodson),-0.39,-0.55,17.0,2024,253
1.0,9:39,3.0,6.0,CLE 23,0.0,0.0,Dorian Thompson-Robinson pass incomplete deep left intended for Elijah Moore,-0.55,-1.83,17.0,2024,253
1.0,9:34,4.0,6.0,CLE 23,0.0,0.0,"Corey Bojorquez punts 43 yards, returned by Malik Washington for 4 yards (tackle by Mike Ford)",-1.83,-1.47,17.0,2024,253
1.0,9:25,1.0,10.0,MIA 38,0.0,0.0,Tyler Huntley pass complete short left to Tyreek Hill for 10 yards,1.47,2.13,17.0,2024,253
1.0,8:54,1.0,10.0,MIA 48,0.0,0.0,Tyler Huntley pass incomplete short middle intended for Jonnu Smith,2.13,1.58,17.0,2024,253
1.0,8:52,2.0,10.0,MIA 48,0.0,0.0,Tyler Huntley pass complete short right to Jonnu Smith for 12 yards (tackle by Ronnie Hickman and Jordan Hicks),1.58,2.92,17.0,2024,253
1.0,8:14,1.0,10.0,CLE 40,0.0,0.0,De'Von Achane left guard for -1 yards (tackle by Grant Delpit),2.92,2.24,17.0,2024,253
1.0,7:39,2.0,11.0,CLE 41,0.0,0.0,De'Von Achane right end for 3 yards (tackle by Denzel Ward),2.24,1.95,17.0,2024,253
