Player,Pos,home_team,team,week,year,game_id
C.J. Stroud,QB,1,Texans,17.0,2024,242
Joe Mixon,RB,1,Texans,17.0,2024,242
Robert Woods,WR,1,Texans,17.0,2024,242
Nico Collins,WR,1,Texans,17.0,2024,242
Cade Stover,TE,1,Texans,17.0,2024,242
Dalton Schultz,TE,1,Texans,17.0,2024,242
Kendrick Green,OL,1,Texans,17.0,2024,242
Jarrett Patterson,OL,1,Texans,17.0,2024,242
Blake Fisher,T,1,Texans,17.0,2024,242
Laremy Tunsil,T,1,Texans,17.0,2024,242
Tytus Howard,T,1,Texans,17.0,2024,242
Will Anderson,DE,1,Texans,17.0,2024,242
Danielle Hunter,DE,1,Texans,17.0,2024,242
Tim Settle,DT,1,Texans,17.0,2024,242
Mario Edwards,DT,1,Texans,17.0,2024,242
Neville Hewitt,LB,1,Texans,17.0,2024,242
Henry To'oTo'o,LB,1,Texans,17.0,2024,242
Christian Harris,LB,1,Texans,17.0,2024,242
Kamari Lassiter,CB,1,Texans,17.0,2024,242
Derek Stingley Jr.,CB,1,Texans,17.0,2024,242
Eric Murray,S,1,Texans,17.0,2024,242
Calen Bullock,S,1,Texans,17.0,2024,242
