Player,Pos,home_team,team,week,year,game_id
Jordan Love,QB,0,Packers,17.0,2024,254
Josh Jacobs,RB,0,Packers,17.0,2024,254
Dontayvion Wicks,WR,0,Packers,17.0,2024,254
Romeo Doubs,WR,0,Packers,17.0,2024,254
Jayden Reed,WR,0,Packers,17.0,2024,254
Tucker Kraft,TE,0,Packers,17.0,2024,254
Elgton Jenkins,OL,0,Packers,17.0,2024,254
Zach Tom,OL,0,Packers,17.0,2024,254
Josh Myers,OL,0,Packers,17.0,2024,254
Rasheed Walker,T,0,Packers,17.0,2024,254
Sean Rhyan,G,0,Packers,17.0,2024,254
Kenny Clark,DL,0,Packers,17.0,2024,254
Kingsley Enagbare,DL,0,Packers,17.0,2024,254
Rashan Gary,DL,0,Packers,17.0,2024,254
Tedarrell Slaton,DL,0,Packers,17.0,2024,254
Eric Wilson,LB,0,Packers,17.0,2024,254
Isaiah McDuffie,LB,0,Packers,17.0,2024,254
Edgerrin Cooper,LB,0,Packers,17.0,2024,254
Keisean Nixon,CB,0,Packers,17.0,2024,254
Carrington Valentine,CB,0,Packers,17.0,2024,254
Xavier McKinney,S,0,Packers,17.0,2024,254
Zayne Anderson,S,0,Packers,17.0,2024,254
