Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Jordan Love,GNB,0,0,0,0,0,17.0,2024,254
Josh Jacobs,GNB,0,0,0,0,0,17.0,2024,254
Emanuel Wilson,GNB,0,0,0,0,0,17.0,2024,254
Romeo Doubs,GNB,11,7,58,0,18,17.0,2024,254
Tucker Kraft,GNB,3,2,53,0,35,17.0,2024,254
Dontayvion Wicks,GNB,5,4,43,0,18,17.0,2024,254
Bo Melton,GNB,4,3,18,0,13,17.0,2024,254
Jayden Reed,GNB,4,1,6,0,6,17.0,2024,254
Luke Musgrave,GNB,1,1,4,0,4,17.0,2024,254
Malik Heath,GNB,1,1,3,1,3,17.0,2024,254
Sam Darnold,MIN,0,0,0,0,0,17.0,2024,254
Aaron Jones,MIN,5,4,30,0,13,17.0,2024,254
Cam Akers,MIN,3,2,15,1,9,17.0,2024,254
Ty Chandler,MIN,0,0,0,0,0,17.0,2024,254
Justin Jefferson,MIN,11,8,92,0,37,17.0,2024,254
Jalen Nailor,MIN,5,5,81,1,31,17.0,2024,254
Jordan Addison,MIN,8,6,69,1,20,17.0,2024,254
T.J. Hockenson,MIN,6,5,68,0,28,17.0,2024,254
C.J. Ham,MIN,2,2,15,0,13,17.0,2024,254
Johnny Mundt,MIN,1,1,7,0,7,17.0,2024,254
