Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
D.J. Moore,CHI,10,9,86,1,6.0,19,2.1,67,7.4,1.6,1,9.0,0,0.0,0,135.8,18.0,2024,261
Roschon Johnson,CHI,5,5,16,0,1.0,-10,-2.0,26,5.2,-2.0,2,2.5,0,0.0,0,80.0,18.0,2024,261
Keenan Allen,CHI,3,3,25,0,2.0,24,8.0,1,0.3,8.0,0,,0,0.0,0,101.4,18.0,2024,261
Cole Kmet,CHI,2,2,3,0,,3,1.5,0,0.0,1.5,0,,0,0.0,0,79.2,18.0,2024,261
Rome Odunze,CHI,2,2,18,0,1.0,14,7.0,4,2.0,7.0,0,,0,0.0,0,104.2,18.0,2024,261
D'Andre Swift,CHI,2,0,0,0,0.0,0,,0,,9.0,0,,1,50.0,1,0.0,18.0,2024,261
Dontayvion Wicks,GNB,6,5,49,0,2.0,38,7.6,11,2.2,9.0,0,,0,0.0,0,100.7,18.0,2024,261
Tucker Kraft,GNB,7,4,36,0,1.0,17,4.3,19,4.8,5.1,1,4.0,0,0.0,0,71.1,18.0,2024,261
Malik Heath,GNB,5,3,53,0,1.0,40,13.3,13,4.3,10.0,0,,0,0.0,0,96.2,18.0,2024,261
Jayden Reed,GNB,2,2,48,0,2.0,48,24.0,0,0.0,24.0,0,,0,0.0,0,118.7,18.0,2024,261
Josh Jacobs,GNB,1,1,2,0,0.0,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2,18.0,2024,261
Luke Musgrave,GNB,1,1,19,0,1.0,19,19.0,0,0.0,19.0,0,,0,0.0,0,118.7,18.0,2024,261
Emanuel Wilson,GNB,1,1,-2,0,0.0,-7,-7.0,5,5.0,-7.0,0,,0,0.0,0,79.2,18.0,2024,261
Chris Brooks,GNB,1,0,0,0,0.0,0,,0,,-1.0,0,,0,0.0,0,39.6,18.0,2024,261
Christian Watson,GNB,1,0,0,0,,0,,0,,4.0,0,,1,100.0,0,39.6,18.0,2024,261
