Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Graham Barton,C,48,100%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Ben Bredeson,G,48,100%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Tristan Wirfs,T,48,100%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Cody Mauch,G,48,100%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Justin Skule,T,48,100%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Cade Otton,TE,48,100%,0,0%,0,0%,0,Buccaneers,2.0,2024,22
Baker Mayfield,QB,48,100%,0,0%,0,0%,0,Buccaneers,2.0,2024,22
Chris Godwin,WR,38,79%,0,0%,0,0%,0,Buccaneers,2.0,2024,22
Jalen McMillan,WR,38,79%,0,0%,0,0%,0,Buccaneers,2.0,2024,22
Mike Evans,WR,38,79%,0,0%,0,0%,0,Buccaneers,2.0,2024,22
Rachaad White,RB,34,71%,0,0%,0,0%,0,Buccaneers,2.0,2024,22
Bucky Irving,RB,17,35%,0,0%,5,19%,0,Buccaneers,2.0,2024,22
Payne Durham,TE,16,33%,0,0%,5,19%,0,Buccaneers,2.0,2024,22
Trey Palmer,WR,10,21%,0,0%,3,12%,0,Buccaneers,2.0,2024,22
Ko Kieft,TE,1,2%,0,0%,16,62%,0,Buccaneers,2.0,2024,22
Zyon McCollum,CB,0,0%,85,100%,6,23%,0,Buccaneers,2.0,2024,22
Christian Izien,SS,0,0%,85,100%,6,23%,0,Buccaneers,2.0,2024,22
Jamel Dean,CB,0,0%,85,100%,2,8%,0,Buccaneers,2.0,2024,22
Jordan Whitehead,SS,0,0%,85,100%,0,0%,0,Buccaneers,2.0,2024,22
Lavonte David,LB,0,0%,85,100%,0,0%,0,Buccaneers,2.0,2024,22
Greg Gaines,NT,0,0%,66,78%,2,8%,0,Buccaneers,2.0,2024,22
YaYa Diaby,LB,0,0%,65,76%,6,23%,0,Buccaneers,2.0,2024,22
Joe Tryon-Shoyinka,LB,0,0%,60,71%,5,19%,0,Buccaneers,2.0,2024,22
Tykee Smith,SS,0,0%,57,67%,5,19%,0,Buccaneers,2.0,2024,22
SirVocea Dennis,LB,0,0%,44,52%,16,62%,0,Buccaneers,2.0,2024,22
K.J. Britt,LB,0,0%,41,48%,6,23%,0,Buccaneers,2.0,2024,22
Vita Vea,NT,0,0%,39,46%,3,12%,0,Buccaneers,2.0,2024,22
Logan Hall,DE,0,0%,30,35%,3,12%,0,Buccaneers,2.0,2024,22
William Gholston,DE,0,0%,27,32%,5,19%,0,Buccaneers,2.0,2024,22
Anthony Nelson,LB,0,0%,25,29%,26,100%,0,Buccaneers,2.0,2024,22
C.J. Brewer,DT,0,0%,22,26%,3,12%,0,Buccaneers,2.0,2024,22
Chris Braswell,LB,0,0%,18,21%,10,38%,0,Buccaneers,2.0,2024,22
Mike Greene,DT,0,0%,13,15%,2,8%,0,Buccaneers,2.0,2024,22
Markees Watts,LB,0,0%,2,2%,11,42%,0,Buccaneers,2.0,2024,22
Tavierre Thomas,CB,0,0%,1,1%,22,85%,0,Buccaneers,2.0,2024,22
Kaevon Merriweather,FS,0,0%,0,0%,20,77%,0,Buccaneers,2.0,2024,22
J.J. Russell,LB,0,0%,0,0%,20,77%,0,Buccaneers,2.0,2024,22
Jake Camarda,P,0,0%,0,0%,14,54%,0,Buccaneers,2.0,2024,22
Sean Tucker,RB,0,0%,0,0%,11,42%,0,Buccaneers,2.0,2024,22
Evan Deckers,LS,0,0%,0,0%,9,35%,0,Buccaneers,2.0,2024,22
Keenan Isaac,CB,0,0%,0,0%,6,23%,0,Buccaneers,2.0,2024,22
Kameron Johnson,WR,0,0%,0,0%,5,19%,0,Buccaneers,2.0,2024,22
Chase McLaughlin,K,0,0%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Elijah Klein,G,0,0%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Robert Hainsey,C,0,0%,0,0%,4,15%,0,Buccaneers,2.0,2024,22
Tyrek Funderburk,CB,0,0%,0,0%,1,4%,0,Buccaneers,2.0,2024,22
