Player,Pos,home_team,team,week,year,game_id
C.J. Stroud,QB,1,Texans,2.0,2024,31
Joe Mixon,RB,1,Texans,2.0,2024,31
Nico Collins,WR,1,Texans,2.0,2024,31
Stefon Diggs,WR,1,Texans,2.0,2024,31
Cade Stover,TE,1,Texans,2.0,2024,31
Brevin Jordan,TE,1,Texans,2.0,2024,31
Jarrett Patterson,OL,1,Texans,2.0,2024,31
Laremy Tunsil,T,1,Texans,2.0,2024,31
Tytus Howard,T,1,Texans,2.0,2024,31
Kenyon Green,G,1,Texans,2.0,2024,31
Shaq Mason,G,1,Texans,2.0,2024,31
Will Anderson,DE,1,Texans,2.0,2024,31
Danielle Hunter,DE,1,Texans,2.0,2024,31
Folorunso Fatukasi,DT,1,Texans,2.0,2024,31
Mario Edwards,DT,1,Texans,2.0,2024,31
Henry To'oTo'o,LB,1,Texans,2.0,2024,31
Azeez Al-Shaair,LB,1,Texans,2.0,2024,31
Kamari Lassiter,CB,1,Texans,2.0,2024,31
Derek Stingley Jr.,CB,1,Texans,2.0,2024,31
Eric Murray,S,1,Texans,2.0,2024,31
Jalen Pitre,S,1,Texans,2.0,2024,31
Jimmie Ward,S,1,Texans,2.0,2024,31
