Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Brock Purdy,SFO,1,1,2.0,2024,23
Jordan Mason,SFO,1,0,2.0,2024,23
George Kittle,SFO,0,0,2.0,2024,23
Brandon Aiyuk,SFO,0,0,2.0,2024,23
Jauan Jennings,SFO,0,0,2.0,2024,23
Eric Saubert,SFO,0,0,2.0,2024,23
Kyle Juszczyk,SFO,0,0,2.0,2024,23
Chris Conley,SFO,0,0,2.0,2024,23
Isaac Guerendo,SFO,0,0,2.0,2024,23
Deebo Samuel,SFO,0,0,2.0,2024,23
Sam Darnold,MIN,2,0,2.0,2024,23
Ty Chandler,MIN,0,0,2.0,2024,23
Aaron Jones,MIN,1,1,2.0,2024,23
Justin Jefferson,MIN,0,0,2.0,2024,23
Jalen Nailor,MIN,0,0,2.0,2024,23
Trent Sherfield,MIN,0,0,2.0,2024,23
Brandon Powell,MIN,0,0,2.0,2024,23
Johnny Mundt,MIN,0,0,2.0,2024,23
