Player,Pos,home_team,team,week,year,game_id
Daniel Jones,QB,0,Giants,2.0,2024,25
Devin Singletary,RB,0,Giants,2.0,2024,25
Malik Nabers,WR,0,Giants,2.0,2024,25
Darius Slayton,WR,0,Giants,2.0,2024,25
Theo Johnson,TE,0,Giants,2.0,2024,25
Chris Manhertz,TE,0,Giants,2.0,2024,25
Jermaine Eluemunor,OL,0,Giants,2.0,2024,25
Andrew Thomas,T,0,Giants,2.0,2024,25
Greg Van Roten,OG,0,Giants,2.0,2024,25
Jon Runyan Jr.,G,0,Giants,2.0,2024,25
John Michael Schmitz,C,0,Giants,2.0,2024,25
Dexter Lawrence,DL,0,Giants,2.0,2024,25
Rakeem Nunez-Roches,DL,0,Giants,2.0,2024,25
Brian Burns,OLB,0,Giants,2.0,2024,25
Kayvon Thibodeaux,OLB,0,Giants,2.0,2024,25
Bobby Okereke,LB,0,Giants,2.0,2024,25
Micah McFadden,LB,0,Giants,2.0,2024,25
Andru Phillips,CB,0,Giants,2.0,2024,25
Cordale Flott,CB,0,Giants,2.0,2024,25
Deonte Banks,CB,0,Giants,2.0,2024,25
Jason Pinnock,S,0,Giants,2.0,2024,25
Tyler Nubin,S,0,Giants,2.0,2024,25
