Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Carlton Davis,DET,0,5,5,100.0%,53.0,10.6,10.6,1.0,150.4,9.8,49.0,4.0,0,0,0,0.0,0,7,0,0.0%,3.0,2024,43
Malcolm Rodriguez,DET,0,4,4,100.0%,29.0,7.3,7.3,0.0,96.9,5.3,21.0,8.0,4,0,0,0.0,0,5,0,0.0%,3.0,2024,43
Amik Robertson,DET,0,5,4,80.0%,35.0,8.8,7.0,0.0,95.8,7.2,7.0,28.0,0,0,0,0.0,0,2,2,50.0%,3.0,2024,43
Terrion Arnold,DET,0,9,3,33.3%,47.0,15.7,5.2,0.0,51.6,18.6,45.0,2.0,0,0,0,0.0,0,2,1,33.3%,3.0,2024,43
Brian Branch,DET,0,5,3,60.0%,19.0,6.3,3.8,0.0,67.9,8.2,15.0,4.0,1,0,0,0.0,0,9,1,10.0%,3.0,2024,43
Aidan Hutchinson,DET,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,2.0,2.0,9.0,0,2,1,1.0,4,6,0,0.0%,3.0,2024,43
Jack Campbell,DET,0,1,1,100.0%,7.0,7.0,7.0,0.0,95.8,5.0,5.0,2.0,3,0,0,0.0,0,4,0,0.0%,3.0,2024,43
Jalen Reeves-Maybin,DET,0,1,1,100.0%,13.0,13.0,13.0,0.0,118.7,6.0,6.0,7.0,3,0,0,0.0,0,1,0,0.0%,3.0,2024,43
Levi Onwuzurike,DET,0,0,0,,,,,,,,,,0,1,2,0.0,3,1,0,0.0%,3.0,2024,43
Derrick Barnes,DET,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%,3.0,2024,43
Parker Hesse,DET,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,3.0,2024,43
Kerby Joseph,DET,1,4,0,0.0%,,,0.0,,0.0,28.8,,,0,0,0,0.0,0,3,0,0.0%,3.0,2024,43
Ben Niemann,DET,0,1,0,0.0%,,,0.0,,39.6,13.0,,,0,0,0,0.0,0,2,0,0.0%,3.0,2024,43
Jalen Thompson,ARI,0,5,5,100.0%,59.0,11.8,11.8,0.0,115.8,7.4,37.0,22.0,0,0,0,0.0,0,9,0,0.0%,3.0,2024,43
Sean Murphy-Bunting,ARI,0,3,3,100.0%,29.0,9.7,9.7,0.0,106.9,8.7,26.0,3.0,0,0,0,0.0,0,7,0,0.0%,3.0,2024,43
Mack Wilson,ARI,0,3,2,66.7%,9.0,4.5,3.0,0.0,70.1,10.3,3.0,6.0,1,0,0,1.0,1,8,2,20.0%,3.0,2024,43
Owen Pappoe,ARI,0,2,2,100.0%,17.0,8.5,8.5,0.0,102.1,5.5,11.0,6.0,1,0,0,0.0,0,5,1,16.7%,3.0,2024,43
Starling Thomas,ARI,0,2,2,100.0%,20.0,10.0,10.0,1.0,147.9,8.0,16.0,4.0,0,0,0,0.0,0,3,0,0.0%,3.0,2024,43
Garrett Williams,ARI,0,2,2,100.0%,20.0,10.0,10.0,0.0,108.3,1.5,3.0,17.0,1,0,0,0.0,0,3,1,25.0%,3.0,2024,43
Julian Okwara,ARI,0,1,1,100.0%,11.0,11.0,11.0,0.0,112.5,4.0,4.0,7.0,1,0,0,0.0,0,1,0,0.0%,3.0,2024,43
Krys Barnes,ARI,0,1,1,100.0%,20.0,20.0,20.0,0.0,118.7,9.0,9.0,11.0,0,0,0,0.0,0,1,0,0.0%,3.0,2024,43
Xavier Thomas,ARI,0,1,1,100.0%,7.0,7.0,7.0,0.0,95.8,-6.0,-6.0,13.0,1,0,0,0.0,0,1,0,0.0%,3.0,2024,43
Khyiris Tonga,ARI,0,1,1,100.0%,5.0,5.0,5.0,0.0,87.5,5.0,5.0,0.0,0,0,0,0.0,0,4,0,0.0%,3.0,2024,43
Dante Stills,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,5,0,0.0%,3.0,2024,43
Roy Lopez,ARI,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%,3.0,2024,43
Justin Jones,ARI,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,3.0,2024,43
Dennis Gardeck,ARI,1,1,0,0.0%,,,0.0,,0.0,7.0,,,3,0,0,0.0,0,4,0,0.0%,3.0,2024,43
Zaven Collins,ARI,0,1,0,0.0%,,,0.0,,39.6,3.0,,,3,0,0,0.0,0,4,1,20.0%,3.0,2024,43
Kyzir White,ARI,0,0,0,,,,,,,,,,4,0,0,0.0,0,11,1,8.3%,3.0,2024,43
Budda Baker,ARI,0,1,0,0.0%,,,0.0,,39.6,45.0,,,4,0,0,0.0,0,7,0,0.0%,3.0,2024,43
