Player,Pos,home_team,team,week,year,game_id
Patrick Mahomes,QB,0,Chiefs,3.0,2024,46
Carson Steele,RB,0,Chiefs,3.0,2024,46
Justin Watson,WR,0,Chiefs,3.0,2024,46
Xavier Worthy,WR,0,Chiefs,3.0,2024,46
Rashee Rice,WR,0,Chiefs,3.0,2024,46
Travis Kelce,TE,0,Chiefs,3.0,2024,46
Wanya Morris,OL,0,Chiefs,3.0,2024,46
Jawaan Taylor,T,0,Chiefs,3.0,2024,46
Trey Smith,G,0,Chiefs,3.0,2024,46
Joe Thuney,G,0,Chiefs,3.0,2024,46
Creed Humphrey,C,0,Chiefs,3.0,2024,46
George Karlaftis III,DE,0,Chiefs,3.0,2024,46
Michael Danna,DE,0,Chiefs,3.0,2024,46
Chris Jones,DT,0,Chiefs,3.0,2024,46
Tershawn Wharton,DT,0,Chiefs,3.0,2024,46
Drue Tranquill,LB,0,Chiefs,3.0,2024,46
Nick Bolton,LB,0,Chiefs,3.0,2024,46
Trent McDuffie,CB,0,Chiefs,3.0,2024,46
Jaylen Watson,CB,0,Chiefs,3.0,2024,46
Chamarri Conner,DB,0,Chiefs,3.0,2024,46
Justin Reid,S,0,Chiefs,3.0,2024,46
Bryan Cook,S,0,Chiefs,3.0,2024,46
