Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Daniel Jones,NYG,0,0,0,0,0,3.0,2024,35
Malik Nabers,NYG,12,8,78,2,28,3.0,2024,35
Devin Singletary,NYG,4,4,43,0,23,3.0,2024,35
Tyrone Tracy Jr.,NYG,2,2,17,0,12,3.0,2024,35
Wan'Dale Robinson,NYG,8,7,61,0,20,3.0,2024,35
Daniel Bellinger,NYG,1,1,17,0,17,3.0,2024,35
Theo Johnson,NYG,3,1,13,0,13,3.0,2024,35
Darius Slayton,NYG,2,1,7,0,7,3.0,2024,35
Jalin Hyatt,NYG,1,0,0,0,0,3.0,2024,35
Eric Gray,NYG,0,0,0,0,0,3.0,2024,35
Deshaun Watson,CLE,0,0,0,0,0,3.0,2024,35
Jerome Ford,CLE,4,3,33,0,24,3.0,2024,35
D'Onta Foreman,CLE,0,0,0,0,0,3.0,2024,35
Jameis Winston,CLE,0,0,0,0,0,3.0,2024,35
Amari Cooper,CLE,12,7,86,2,24,3.0,2024,35
Jordan Akins,CLE,7,4,29,0,10,3.0,2024,35
Jerry Jeudy,CLE,7,4,27,0,12,3.0,2024,35
Elijah Moore,CLE,3,2,17,0,12,3.0,2024,35
Cedric Tillman,CLE,2,1,4,0,4,3.0,2024,35
