Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Tytus Howard,T,67,100%,0,0%,2,8%,0,Texans,3.0,2024,38
Kenyon Green,G,67,100%,0,0%,2,8%,0,Texans,3.0,2024,38
Laremy Tunsil,T,67,100%,0,0%,2,8%,0,Texans,3.0,2024,38
Shaq Mason,G,67,100%,0,0%,2,8%,0,Texans,3.0,2024,38
Juice Scruggs,C,67,100%,0,0%,0,0%,0,Texans,3.0,2024,38
Dalton Schultz,TE,64,96%,0,0%,0,0%,0,Texans,3.0,2024,38
Stefon Diggs,WR,57,85%,0,0%,0,0%,0,Texans,3.0,2024,38
Nico Collins,WR,55,82%,0,0%,0,0%,0,Texans,3.0,2024,38
C.J. Stroud,QB,54,81%,0,0%,0,0%,0,Texans,3.0,2024,38
Tank Dell,WR,45,67%,0,0%,0,0%,0,Texans,3.0,2024,38
Cam Akers,RB,29,43%,0,0%,0,0%,0,Texans,3.0,2024,38
Dare Ogunbowale,RB,28,42%,0,0%,10,39%,0,Texans,3.0,2024,38
Cade Stover,TE,19,28%,0,0%,2,8%,0,Texans,3.0,2024,38
Robert Woods,WR,13,19%,0,0%,3,12%,0,Texans,3.0,2024,38
Davis Mills,QB,13,19%,0,0%,0,0%,0,Texans,3.0,2024,38
Xavier Hutchinson,WR,12,18%,0,0%,8,31%,0,Texans,3.0,2024,38
J.J. Taylor,RB,10,15%,0,0%,3,12%,0,Texans,3.0,2024,38
British Brooks,RB,3,4%,0,0%,17,66%,0,Texans,3.0,2024,38
Jimmie Ward,FS,0,0%,63,100%,0,0%,0,Texans,3.0,2024,38
Kamari Lassiter,CB,0,0%,62,98%,1,4%,0,Texans,3.0,2024,38
Derek Stingley Jr.,CB,0,0%,62,98%,1,4%,0,Texans,3.0,2024,38
Azeez Al-Shaair,LB,0,0%,62,98%,0,0%,0,Texans,3.0,2024,38
Jalen Pitre,FS,0,0%,62,98%,0,0%,0,Texans,3.0,2024,38
Henry To'oTo'o,LB,0,0%,55,87%,4,15%,0,Texans,3.0,2024,38
Calen Bullock,SS,0,0%,53,84%,12,46%,0,Texans,3.0,2024,38
Danielle Hunter,DE,0,0%,51,81%,0,0%,0,Texans,3.0,2024,38
Will Anderson,DE,0,0%,48,76%,1,4%,0,Texans,3.0,2024,38
Tim Settle,DT,0,0%,39,62%,6,23%,0,Texans,3.0,2024,38
Mario Edwards,DT,0,0%,36,57%,7,27%,0,Texans,3.0,2024,38
Folorunso Fatukasi,DT,0,0%,33,52%,1,4%,0,Texans,3.0,2024,38
Derek Barnett,DE,0,0%,25,40%,6,23%,0,Texans,3.0,2024,38
Eric Murray,FS,0,0%,21,33%,14,54%,0,Texans,3.0,2024,38
Khalil Davis,DT,0,0%,15,24%,7,27%,0,Texans,3.0,2024,38
Jerry Hughes,DE,0,0%,6,10%,0,0%,0,Texans,3.0,2024,38
M.J. Stewart,SS,0,0%,0,0%,24,93%,0,Texans,3.0,2024,38
Neville Hewitt,LB,0,0%,0,0%,24,93%,0,Texans,3.0,2024,38
Jake Hansen,LB,0,0%,0,0%,23,89%,0,Texans,3.0,2024,38
Del'Shawn Phillips,LB,0,0%,0,0%,23,89%,0,Texans,3.0,2024,38
Kris Boyd,CB,0,0%,0,0%,17,66%,0,Texans,3.0,2024,38
D'Angelo Ross,CB,0,0%,0,0%,16,62%,0,Texans,3.0,2024,38
Zeke Turner,LB,0,0%,0,0%,13,50%,0,Texans,3.0,2024,38
Steven Sims,WR,0,0%,0,0%,11,42%,0,Texans,3.0,2024,38
Tommy Townsend,P,0,0%,0,0%,6,23%,0,Texans,3.0,2024,38
Jon Weeks,LS,0,0%,0,0%,6,23%,0,Texans,3.0,2024,38
Ka'imi Fairbairn,K,0,0%,0,0%,5,19%,0,Texans,3.0,2024,38
Blake Fisher,T,0,0%,0,0%,2,8%,0,Texans,3.0,2024,38
Nick Broeker,G,0,0%,0,0%,2,8%,0,Texans,3.0,2024,38
Kendrick Green,C,0,0%,0,0%,2,8%,0,Texans,3.0,2024,38
