Player,Pos,home_team,team,week,year,game_id
Derek Carr,QB,0,Saints,4.0,2024,50
Alvin Kamara,RB,0,Saints,4.0,2024,50
Rashid Shaheed,WR,0,Saints,4.0,2024,50
Chris Olave,WR,0,Saints,4.0,2024,50
Taysom Hill,TE,0,Saints,4.0,2024,50
Foster Moreau,TE,0,Saints,4.0,2024,50
Lucas Patrick,OL,0,Saints,4.0,2024,50
Taliese Fuaga,OT,0,Saints,4.0,2024,50
Trevor Penning,OT,0,Saints,4.0,2024,50
Landon Young,T,0,Saints,4.0,2024,50
Shane Lemieux,G,0,Saints,4.0,2024,50
Cameron Jordan,DE,0,Saints,4.0,2024,50
Carl Granderson,DE,0,Saints,4.0,2024,50
Nathan Shepherd,DT,0,Saints,4.0,2024,50
Bryan Bresee,DT,0,Saints,4.0,2024,50
Willie Gay Jr.,LB,0,Saints,4.0,2024,50
Pete Werner,LB,0,Saints,4.0,2024,50
Paulson Adebo,CB,0,Saints,4.0,2024,50
Marshon Lattimore,CB,0,Saints,4.0,2024,50
Will Harris,CB,0,Saints,4.0,2024,50
Alontae Taylor,CB,0,Saints,4.0,2024,50
Tyrann Mathieu,S,0,Saints,4.0,2024,50
