Player,Pos,home_team,team,week,year,game_id
Kirk Cousins,QB,1,Falcons,4.0,2024,50
Bijan Robinson,RB,1,Falcons,4.0,2024,50
Drake London,WR,1,Falcons,4.0,2024,50
Ray-Ray McCloud,WR,1,Falcons,4.0,2024,50
Darnell Mooney,WR,1,Falcons,4.0,2024,50
Kyle Pitts,TE,1,Falcons,4.0,2024,50
Matthew Bergeron,OL,1,Falcons,4.0,2024,50
Storm Norton,OL,1,Falcons,4.0,2024,50
Ryan Neuzil,OL,1,Falcons,4.0,2024,50
Jake Matthews,T,1,Falcons,4.0,2024,50
Chris Lindstrom,G,1,Falcons,4.0,2024,50
David Onyemata,DL,1,Falcons,4.0,2024,50
Eddie Goldman,DL,1,Falcons,4.0,2024,50
Grady Jarrett,DL,1,Falcons,4.0,2024,50
Matt Judon,OLB,1,Falcons,4.0,2024,50
Lorenzo Carter,OLB,1,Falcons,4.0,2024,50
Kaden Elliss,LB,1,Falcons,4.0,2024,50
Troy Andersen,LB,1,Falcons,4.0,2024,50
AJ Terrell,CB,1,Falcons,4.0,2024,50
Mike Hughes,CB,1,Falcons,4.0,2024,50
Justin Simmons,S,1,Falcons,4.0,2024,50
Jessie Bates III,S,1,Falcons,4.0,2024,50
