Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Joe Burrow,CIN,0,0,4.0,2024,51
Chase Brown,CIN,0,0,4.0,2024,51
Zack Moss,CIN,0,0,4.0,2024,51
Ja'Marr Chase,CIN,0,0,4.0,2024,51
Tee Higgins,CIN,0,0,4.0,2024,51
Andrei Iosivas,CIN,0,0,4.0,2024,51
Erick All,CIN,0,0,4.0,2024,51
Drew Sample,CIN,0,0,4.0,2024,51
Mike Gesicki,CIN,0,0,4.0,2024,51
Andy Dalton,CAR,0,0,4.0,2024,51
Johnny Hekker,CAR,0,0,4.0,2024,51
Chuba Hubbard,CAR,0,0,4.0,2024,51
Miles Sanders,CAR,0,0,4.0,2024,51
Xavier Legette,CAR,0,0,4.0,2024,51
Diontae Johnson,CAR,0,0,4.0,2024,51
Jonathan Mingo,CAR,0,0,4.0,2024,51
Ja'Tavion Sanders,CAR,0,0,4.0,2024,51
Feleipe Franks,CAR,0,0,4.0,2024,51
Jalen Coker,CAR,0,0,4.0,2024,51
