Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Greg Van Roten,G,69,100%,0,0%,5,20%,1,Giants,4.0,2024,49
Jermaine Eluemunor,T,69,100%,0,0%,5,20%,1,Giants,4.0,2024,49
Jon Runyan Jr.,G,69,100%,0,0%,5,20%,1,Giants,4.0,2024,49
Andrew Thomas,T,69,100%,0,0%,0,0%,1,Giants,4.0,2024,49
John Michael Schmitz,C,69,100%,0,0%,0,0%,1,Giants,4.0,2024,49
Daniel Jones,QB,69,100%,0,0%,0,0%,1,Giants,4.0,2024,49
Malik Nabers,WR,62,90%,0,0%,0,0%,1,Giants,4.0,2024,49
Darius Slayton,WR,58,84%,0,0%,0,0%,1,Giants,4.0,2024,49
Theo Johnson,TE,49,71%,0,0%,5,20%,1,Giants,4.0,2024,49
Devin Singletary,RB,47,68%,0,0%,0,0%,1,Giants,4.0,2024,49
Wan'Dale Robinson,WR,45,65%,0,0%,0,0%,1,Giants,4.0,2024,49
Chris Manhertz,TE,29,42%,0,0%,10,40%,1,Giants,4.0,2024,49
Tyrone Tracy Jr.,RB,17,25%,0,0%,3,12%,1,Giants,4.0,2024,49
Daniel Bellinger,TE,13,19%,0,0%,11,44%,1,Giants,4.0,2024,49
Jalin Hyatt,WR,13,19%,0,0%,0,0%,1,Giants,4.0,2024,49
Jakob Johnson,FB,7,10%,0,0%,8,32%,1,Giants,4.0,2024,49
Eric Gray,RB,5,7%,0,0%,5,20%,1,Giants,4.0,2024,49
Tyler Nubin,SS,0,0%,56,100%,9,36%,1,Giants,4.0,2024,49
Bobby Okereke,LB,0,0%,56,100%,5,20%,1,Giants,4.0,2024,49
Cordale Flott,CB,0,0%,56,100%,5,20%,1,Giants,4.0,2024,49
Jason Pinnock,SS,0,0%,56,100%,5,20%,1,Giants,4.0,2024,49
Deonte Banks,CB,0,0%,54,96%,0,0%,1,Giants,4.0,2024,49
Brian Burns,LB,0,0%,47,84%,0,0%,1,Giants,4.0,2024,49
Dexter Lawrence,NT,0,0%,46,82%,2,8%,1,Giants,4.0,2024,49
Kayvon Thibodeaux,LB,0,0%,46,82%,0,0%,1,Giants,4.0,2024,49
Micah McFadden,LB,0,0%,42,75%,11,44%,1,Giants,4.0,2024,49
Nick McCloud,CB,0,0%,37,66%,15,60%,1,Giants,4.0,2024,49
Rakeem Nunez-Roches,NT,0,0%,36,64%,6,24%,1,Giants,4.0,2024,49
D.J. Davidson,DT,0,0%,21,38%,11,44%,1,Giants,4.0,2024,49
Azeez Ojulari,DE,0,0%,19,34%,3,12%,1,Giants,4.0,2024,49
Elijah Chatman,DT,0,0%,15,27%,0,0%,1,Giants,4.0,2024,49
Isaiah Simmons,LB,0,0%,14,25%,10,40%,1,Giants,4.0,2024,49
Duke Shelley,CB,0,0%,14,25%,9,36%,1,Giants,4.0,2024,49
Jordon Riley,NT,0,0%,1,2%,5,20%,1,Giants,4.0,2024,49
Patrick Johnson,LB,0,0%,0,0%,20,80%,1,Giants,4.0,2024,49
Dane Belton,SS,0,0%,0,0%,20,80%,1,Giants,4.0,2024,49
Darius Muasau,LB,0,0%,0,0%,15,60%,1,Giants,4.0,2024,49
Bryce Ford-Wheaton,WR,0,0%,0,0%,15,60%,1,Giants,4.0,2024,49
Ty Summers,LB,0,0%,0,0%,14,56%,1,Giants,4.0,2024,49
Greg Joseph,K,0,0%,0,0%,11,44%,1,Giants,4.0,2024,49
Jamie Gillan,P,0,0%,0,0%,6,24%,1,Giants,4.0,2024,49
Casey Kreiter,LS,0,0%,0,0%,6,24%,1,Giants,4.0,2024,49
Joshua Ezeudu,G,0,0%,0,0%,5,20%,1,Giants,4.0,2024,49
Ihmir Smith-Marsette,WR,0,0%,0,0%,5,20%,1,Giants,4.0,2024,49
Aaron Stinnie,G,0,0%,0,0%,5,20%,1,Giants,4.0,2024,49
