Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jalen Hurts,PHI,2,1,4.0,2024,57
Saquon Barkley,PHI,0,0,4.0,2024,57
Kenneth Gainwell,PHI,0,0,4.0,2024,57
Dallas Goedert,PHI,0,0,4.0,2024,57
Grant Calcaterra,PHI,0,0,4.0,2024,57
Parris Campbell,PHI,0,0,4.0,2024,57
Jahan Dotson,PHI,0,0,4.0,2024,57
John Ross,PHI,0,0,4.0,2024,57
Jack Stoll,PHI,0,0,4.0,2024,57
Johnny Wilson,PHI,0,0,4.0,2024,57
Baker Mayfield,TAM,1,0,4.0,2024,57
Rachaad White,TAM,0,0,4.0,2024,57
Bucky Irving,TAM,0,0,4.0,2024,57
Sean Tucker,TAM,0,0,4.0,2024,57
Mike Evans,TAM,0,0,4.0,2024,57
Chris Godwin,TAM,0,0,4.0,2024,57
Cade Otton,TAM,0,0,4.0,2024,57
Sterling Shepard,TAM,0,0,4.0,2024,57
Trey Palmer,TAM,0,0,4.0,2024,57
Kameron Johnson,TAM,0,0,4.0,2024,57
