Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jordan Love,GNB,1,0,5.0,2024,75
Josh Jacobs,GNB,0,0,5.0,2024,75
Emanuel Wilson,GNB,0,0,5.0,2024,75
Jayden Reed,GNB,0,0,5.0,2024,75
Tucker Kraft,GNB,0,0,5.0,2024,75
Dontayvion Wicks,GNB,0,0,5.0,2024,75
Malik Heath,GNB,0,0,5.0,2024,75
Bo Melton,GNB,0,0,5.0,2024,75
Matthew Stafford,LAR,0,0,5.0,2024,75
Kyren Williams,LAR,1,1,5.0,2024,75
Blake Corum,LAR,0,0,5.0,2024,75
Tutu Atwell,LAR,0,0,5.0,2024,75
Jordan Whittington,LAR,0,0,5.0,2024,75
Colby Parkinson,LAR,0,0,5.0,2024,75
Demarcus Robinson,LAR,0,0,5.0,2024,75
Hunter Long,LAR,0,0,5.0,2024,75
Xavier Smith,LAR,0,0,5.0,2024,75
Davis Allen,LAR,0,0,5.0,2024,75
