Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Marcus Maye,MIA,0,8,5,62.5%,31.0,6.2,3.9,0.0,70.3,8.0,4.0,27.0,0,0,0,0.0,0,9,1,10.0%,5.0,2024,72
Kader Kohou,MIA,0,5,3,60.0%,9.0,3.0,1.8,0.0,64.6,6.4,4.0,5.0,0,0,0,0.0,0,5,0,0.0%,5.0,2024,72
Jalen Ramsey,MIA,0,6,3,50.0%,37.0,12.3,6.2,0.0,69.4,9.8,25.0,12.0,1,0,0,0.0,0,5,0,0.0%,5.0,2024,72
Elijah Campbell,MIA,0,3,2,66.7%,20.0,10.0,6.7,0.0,85.4,9.3,16.0,4.0,1,1,0,0.0,1,2,0,0.0%,5.0,2024,72
Anthony Walker,MIA,0,2,2,100.0%,14.0,7.0,7.0,0.0,95.8,0.0,0.0,14.0,4,0,0,0.0,0,3,0,0.0%,5.0,2024,72
Jordyn Brooks,MIA,0,2,1,50.0%,25.0,25.0,12.5,0.0,95.8,19.0,25.0,0.0,3,0,0,0.0,0,7,0,0.0%,5.0,2024,72
Storm Duck,MIA,0,1,1,100.0%,6.0,6.0,6.0,0.0,91.7,-3.0,-3.0,9.0,0,0,0,0.0,0,0,0,,5.0,2024,72
Jevon Holland,MIA,0,4,1,25.0%,18.0,18.0,4.5,0.0,45.8,15.8,11.0,7.0,2,0,0,0.0,0,5,0,0.0%,5.0,2024,72
Zach Sieler,MIA,0,0,0,,,,,,,,,,0,0,2,1.0,3,1,0,0.0%,5.0,2024,72
Calais Campbell,MIA,0,0,0,,,,,,,,,,0,0,2,0.0,2,0,0,,5.0,2024,72
Da'Shawn Hand,MIA,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,5.0,2024,72
Emmanuel Ogbah,MIA,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,5.0,2024,72
Benito Jones,MIA,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,5.0,2024,72
Chop Robinson,MIA,0,2,0,0.0%,,,0.0,,39.6,2.5,,,2,0,1,0.0,1,3,0,0.0%,5.0,2024,72
Quinton Bell,MIA,0,1,0,0.0%,,,0.0,,39.6,12.0,,,0,0,0,0.0,0,0,0,,5.0,2024,72
Tyus Bowser,MIA,0,0,0,,,,,,,,,,3,0,0,0.0,0,1,0,0.0%,5.0,2024,72
Christian Gonzalez,NWE,1,9,4,44.4%,49.0,12.3,5.4,0.0,22.2,9.7,40.0,9.0,0,0,0,0.0,0,6,0,0.0%,5.0,2024,72
Marcus Jones,NWE,0,3,3,100.0%,26.0,8.7,8.7,0.0,102.8,4.3,13.0,13.0,0,0,0,0.0,0,4,0,0.0%,5.0,2024,72
Raekwon McMillan,NWE,0,2,2,100.0%,18.0,9.0,9.0,0.0,104.2,6.0,12.0,6.0,0,0,0,0.0,0,7,0,0.0%,5.0,2024,72
Dell Pettus,NWE,0,3,2,66.7%,31.0,15.5,10.3,0.0,100.7,11.7,29.0,2.0,1,0,0,0.0,0,9,0,0.0%,5.0,2024,72
Jaylinn Hawkins,NWE,0,2,2,100.0%,36.0,18.0,18.0,0.0,118.7,11.5,23.0,13.0,1,0,0,0.0,0,8,0,0.0%,5.0,2024,72
Keion White,NWE,0,1,1,100.0%,8.0,8.0,8.0,0.0,100.0,-5.0,-5.0,13.0,0,1,1,0.0,2,2,0,0.0%,5.0,2024,72
Daniel Ekuale,NWE,0,1,1,100.0%,-1.0,-1.0,-1.0,0.0,79.2,-5.0,-5.0,4.0,0,0,0,0.5,1,9,0,0.0%,5.0,2024,72
Marte Mapu,NWE,0,3,1,33.3%,13.0,13.0,4.3,0.0,47.9,15.0,8.0,5.0,0,0,0,0.0,0,7,0,0.0%,5.0,2024,72
Jonathan Jones,NWE,0,1,1,100.0%,6.0,6.0,6.0,0.0,91.7,6.0,6.0,0.0,0,0,0,0.0,0,3,0,0.0%,5.0,2024,72
Christian Elliss,NWE,0,3,1,33.3%,21.0,21.0,7.0,0.0,59.0,7.3,10.0,11.0,0,0,0,0.0,0,5,0,0.0%,5.0,2024,72
Anfernee Jennings,NWE,0,0,0,,,,,,,,,,0,0,0,0.5,1,8,0,0.0%,5.0,2024,72
Jaquelin Roy,NWE,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,5.0,2024,72
Joshua Uche,NWE,0,0,0,,,,,,,,,,1,0,0,1.0,1,2,0,0.0%,5.0,2024,72
Vederian Lowe,NWE,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,5.0,2024,72
Jahlani Tavai,NWE,0,5,0,0.0%,8.0,,1.6,0.0,39.6,13.4,6.0,2.0,3,0,0,0.0,0,5,0,0.0%,5.0,2024,72
