Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Tyreek Hill,MIA,10,6,69,0,3.0,52,8.7,17,2.8,10.4,0,,0,0.0,0,80.8,5.0,2024,72
Jonnu Smith,MIA,8,5,62,0,4.0,33,6.6,29,5.8,8.8,0,,1,12.5,0,86.5,5.0,2024,72
Jaylen Waddle,MIA,8,4,46,0,2.0,42,10.5,4,1.0,10.4,0,,3,37.5,0,67.7,5.0,2024,72
Raheem Mostert,MIA,2,2,18,0,1.0,1,0.5,17,8.5,0.5,0,,0,0.0,0,104.2,5.0,2024,72
De'Von Achane,MIA,1,1,-1,0,0.0,-5,-5.0,4,4.0,-5.0,0,,0,0.0,0,79.2,5.0,2024,72
Odell Beckham Jr.,MIA,1,0,0,0,,0,,0,,9.0,0,,0,0.0,1,0.0,5.0,2024,72
Durham Smythe,MIA,1,0,0,0,,0,,0,,24.0,0,,0,0.0,0,39.6,5.0,2024,72
Demario Douglas,NWE,9,6,59,0,3.0,29,4.8,30,5.0,9.4,0,,1,11.1,0,85.0,5.0,2024,72
Rhamondre Stevenson,NWE,4,4,3,0,1.0,-18,-4.5,21,5.3,-4.5,1,4.0,0,0.0,0,79.2,5.0,2024,72
Kayshon Boutte,NWE,2,2,34,0,2.0,32,16.0,2,1.0,16.0,0,,0,0.0,0,118.7,5.0,2024,72
Hunter Henry,NWE,4,2,32,0,1.0,29,14.5,3,1.5,12.5,0,,0,0.0,0,77.1,5.0,2024,72
Kendrick Bourne,NWE,1,1,6,0,,-2,-2.0,8,8.0,-2.0,0,,0,0.0,0,91.7,5.0,2024,72
Antonio Gibson,NWE,1,1,4,0,0.0,-6,-6.0,10,10.0,-6.0,0,,0,0.0,0,83.3,5.0,2024,72
Austin Hooper,NWE,3,1,9,0,,5,5.0,4,4.0,8.0,0,,1,33.3,0,42.4,5.0,2024,72
Ja'Lynn Polk,NWE,6,1,13,0,1.0,13,13.0,0,0.0,14.7,0,,1,16.7,0,39.6,5.0,2024,72
