Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Tyler Huntley,MIA,18,31,194,0,1,3,15,21,63.1,5.0,2024,72
Jaylen Wright,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Jake Bailey,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Odell Beckham Jr.,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Jonnu Smith,MIA,0,0,0,0,0,0,0,0,,5.0,2024,72
Jacoby Brissett,NWE,18,34,160,0,0,2,12,25,65.8,5.0,2024,72
Rhamondre Stevenson,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Antonio Gibson,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Kayshon Boutte,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Ja'Lynn Polk,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Austin Hooper,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
Kendrick Bourne,NWE,0,0,0,0,0,0,0,0,,5.0,2024,72
