Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Dak Prescott,DAL,1,3,0,3,5.0,2024,77
Rico Dowdle,DAL,20,87,0,13,5.0,2024,77
Ezekiel Elliott,DAL,6,17,0,5,5.0,2024,77
Hunter Luepke,DAL,2,6,0,4,5.0,2024,77
CeeDee Lamb,DAL,1,2,0,2,5.0,2024,77
Jalen Tolbert,DAL,0,0,0,0,5.0,2024,77
Jake Ferguson,DAL,0,0,0,0,5.0,2024,77
Brevyn Spann-Ford,DAL,0,0,0,0,5.0,2024,77
Jalen Brooks,DAL,0,0,0,0,5.0,2024,77
Luke Schoonmaker,DAL,0,0,0,0,5.0,2024,77
KaVontae Turpin,DAL,1,-6,0,-6,5.0,2024,77
Justin Fields,PIT,6,27,0,8,5.0,2024,77
Kyle Allen,PIT,0,0,0,0,5.0,2024,77
Najee Harris,PIT,14,42,0,6,5.0,2024,77
Aaron Shampklin,PIT,4,14,0,5,5.0,2024,77
Jonathan Ward,PIT,2,9,0,7,5.0,2024,77
Van Jefferson,PIT,0,0,0,0,5.0,2024,77
George Pickens,PIT,0,0,0,0,5.0,2024,77
Connor Heyward,PIT,0,0,0,0,5.0,2024,77
Pat Freiermuth,PIT,0,0,0,0,5.0,2024,77
Brandon Johnson,PIT,0,0,0,0,5.0,2024,77
Calvin Austin III,PIT,0,0,0,0,5.0,2024,77
Darnell Washington,PIT,0,0,0,0,5.0,2024,77
Zach Frazier,PIT,0,0,0,0,5.0,2024,77
