Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Trey McBride,ARI,9,6,53,0,2.0,27,4.5,26,4.3,6.6,0,,0,0.0,0,82.2,5.0,2024,73
Michael Wilson,ARI,6,5,78,0,4.0,54,10.8,24,4.8,15.8,1,5.0,0,0.0,0,118.7,5.0,2024,73
James Conner,ARI,3,2,14,0,1.0,-7,-3.5,21,10.5,-4.3,3,0.7,0,0.0,1,37.5,5.0,2024,73
Marvin Harrison Jr.,ARI,7,2,36,0,2.0,33,16.5,3,1.5,13.6,0,,0,0.0,0,48.5,5.0,2024,73
Emari Demercado,ARI,1,1,0,0,,-3,-3.0,3,3.0,-3.0,0,,0,0.0,0,79.2,5.0,2024,73
Greg Dortch,ARI,2,1,7,0,,-7,-7.0,14,14.0,-7.5,0,,0,0.0,0,58.3,5.0,2024,73
Elijah Higgins,ARI,1,1,2,1,1.0,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7,5.0,2024,73
Tip Reiman,ARI,1,1,5,0,,2,2.0,3,3.0,2.0,1,1.0,0,0.0,0,87.5,5.0,2024,73
Brandon Aiyuk,SFO,12,8,147,0,6.0,93,11.6,54,6.8,11.9,1,8.0,1,8.3,1,74.0,5.0,2024,73
George Kittle,SFO,12,8,64,1,5.0,42,5.3,22,2.8,6.5,1,8.0,1,8.3,1,72.9,5.0,2024,73
Jauan Jennings,SFO,4,1,13,0,1.0,5,5.0,8,8.0,9.5,1,1.0,0,0.0,0,40.6,5.0,2024,73
Jordan Mason,SFO,1,1,9,0,0.0,4,4.0,5,5.0,4.0,0,,0,0.0,0,104.2,5.0,2024,73
Deebo Samuel,SFO,3,1,11,0,1.0,-3,-3.0,14,14.0,7.0,0,,0,0.0,0,45.1,5.0,2024,73
