Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Jeremiah Owusu-Koramoah,CLE,1,0,0,0,1,1.0,5,5,0,2,1,0,0,0,1,5.0,2024,70
Za'Darius Smith,CLE,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0,5.0,2024,70
Winston Reid,CLE,0,0,0,0,2,0.5,8,4,4,0,1,0,0,0,0,5.0,2024,70
Dalvin Tomlinson,CLE,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0,5.0,2024,70
Devin Bush Jr.,CLE,0,0,0,0,1,0.0,10,8,2,0,0,0,0,0,0,5.0,2024,70
Rodney McLeod,CLE,0,0,0,0,1,0.0,8,6,2,2,0,0,0,0,0,5.0,2024,70
Grant Delpit,CLE,0,0,0,0,0,0.0,7,3,4,1,0,0,0,0,0,5.0,2024,70
Greg Newsome II,CLE,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,5.0,2024,70
D'Anthony Bell,CLE,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0,5.0,2024,70
Martin Emerson,CLE,0,0,0,0,0,0.0,3,3,0,1,0,1,2,0,1,5.0,2024,70
Ronnie Hickman,CLE,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,5.0,2024,70
Isaiah McGuire,CLE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,5.0,2024,70
Mike Ford,CLE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,5.0,2024,70
Nathaniel Watson,CLE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,5.0,2024,70
Tony Brown,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2024,70
Shelby Harris,CLE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2024,70
Cameron Mitchell,CLE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2024,70
Denzel Ward,CLE,0,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0,5.0,2024,70
Frankie Luvu,WAS,0,0,0,0,0,2.5,7,4,3,2,3,1,5,0,0,5.0,2024,70
Bobby Wagner,WAS,0,0,0,0,0,1.5,6,3,3,1,2,0,0,0,1,5.0,2024,70
Jonathan Allen,WAS,0,0,0,0,0,1.0,4,4,0,1,2,0,0,0,0,5.0,2024,70
Dorance Armstrong Jr.,WAS,0,0,0,0,0,1.0,3,1,2,1,2,0,0,0,0,5.0,2024,70
Dante Fowler,WAS,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,5.0,2024,70
Nick Bellore,WAS,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,5.0,2024,70
Jeremy Chinn,WAS,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,5.0,2024,70
Quan Martin,WAS,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0,5.0,2024,70
Jeremy McNichols,WAS,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,5.0,2024,70
Daron Payne,WAS,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,5.0,2024,70
Mike Sainristil,WAS,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0,5.0,2024,70
Jamin Davis,WAS,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,5.0,2024,70
Noah Igbinoghene,WAS,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,5.0,2024,70
Phidarian Mathis,WAS,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,5.0,2024,70
Jer'Zhan Newton,WAS,0,0,0,0,0,0.0,3,2,1,1,1,0,0,0,0,5.0,2024,70
Benjamin St-Juste,WAS,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0,5.0,2024,70
Darrick Forrest,WAS,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,5.0,2024,70
Percy Butler,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2024,70
Michael Davis,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2024,70
Javontae Jean-Baptiste,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2024,70
Jeremy Reaves,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2024,70
Kevon Seymour,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2024,70
Brycen Tremayne,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2024,70
Mykal Walker,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,5.0,2024,70
Colson Yankoff,WAS,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,5.0,2024,70
Olamide Zaccheaus,WAS,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,5.0,2024,70
