Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,week,year,game_id
Montaric Brown,JAX,0,4,4,100.0%,20.0,5.0,5.0,1.0,127.1,2.3,9.0,11.0,0,0,0,0.0,0,7,0,0.0%,6.0,2024,80
Ronald Darby,JAX,0,4,4,100.0%,54.0,13.5,13.5,0.0,118.7,6.0,24.0,30.0,1,0,0,0.0,0,8,0,0.0%,6.0,2024,80
Andre Cisco,JAX,1,4,3,75.0%,44.0,14.7,11.0,1.0,110.4,13.8,21.0,23.0,0,0,0,0.0,0,7,1,12.5%,6.0,2024,80
Darnell Savage Jr.,JAX,0,3,3,100.0%,16.0,5.3,5.3,1.0,128.5,2.7,8.0,8.0,0,0,0,0.0,0,2,0,0.0%,6.0,2024,80
Ventrell Miller,JAX,0,2,2,100.0%,22.0,11.0,11.0,0.0,112.5,0.0,0.0,22.0,0,1,0,0.0,1,10,2,16.7%,6.0,2024,80
Devin Lloyd,JAX,0,2,2,100.0%,7.0,3.5,3.5,1.0,120.8,3.5,7.0,0.0,1,0,0,0.0,0,9,0,0.0%,6.0,2024,80
Jarrian Jones,JAX,0,3,2,66.7%,17.0,8.5,5.7,0.0,81.2,0.0,5.0,12.0,0,0,0,0.0,0,0,0,,6.0,2024,80
Antonio Johnson,JAX,0,3,2,66.7%,30.0,15.0,10.0,0.0,99.3,5.0,18.0,12.0,1,0,0,0.0,0,4,0,0.0%,6.0,2024,80
Josh Hines-Allen,JAX,0,1,1,100.0%,8.0,8.0,8.0,0.0,100.0,-4.0,-4.0,12.0,0,0,1,0.5,2,1,1,50.0%,6.0,2024,80
Chad Muma,JAX,0,1,1,100.0%,9.0,9.0,9.0,0.0,104.2,5.0,5.0,4.0,2,0,0,0.0,0,4,1,20.0%,6.0,2024,80
DaVon Hamilton,JAX,0,1,1,100.0%,19.0,19.0,19.0,0.0,118.7,0.0,0.0,19.0,0,0,0,0.0,0,2,0,0.0%,6.0,2024,80
Esezi Otomewo,JAX,0,0,0,,,,,,,,,,0,0,0,0.5,1,2,0,0.0%,6.0,2024,80
Roy Robertson-Harris,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,6.0,2024,80
Maason Smith,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,6.0,2024,80
Travon Walker,JAX,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%,6.0,2024,80
Jaylon Jones,CHI,0,8,7,87.5%,76.0,10.9,9.5,0.0,106.2,8.5,63.0,13.0,0,0,0,0.0,0,10,0,0.0%,6.0,2024,80
Tremaine Edmunds,CHI,0,8,5,62.5%,67.0,13.4,8.4,0.0,89.1,6.3,26.0,41.0,1,0,0,0.0,0,6,0,0.0%,6.0,2024,80
Jaylon Johnson,CHI,0,4,3,75.0%,17.0,5.7,4.3,0.0,82.3,8.3,-1.0,18.0,0,0,0,0.0,0,2,0,0.0%,6.0,2024,80
T.J. Edwards,CHI,0,3,2,66.7%,17.0,8.5,5.7,0.0,81.2,13.7,6.0,11.0,6,0,0,0.0,0,7,0,0.0%,6.0,2024,80
Kevin Byard,CHI,0,4,2,50.0%,7.0,3.5,1.8,1.0,95.8,8.5,4.0,3.0,0,0,0,0.0,0,7,0,0.0%,6.0,2024,80
Jack Sanborn,CHI,0,1,1,100.0%,6.0,6.0,6.0,0.0,91.7,6.0,6.0,0.0,1,0,1,0.0,1,1,0,0.0%,6.0,2024,80
Josh Blackwell,CHI,1,2,1,50.0%,15.0,15.0,7.5,0.0,35.4,6.5,-2.0,17.0,2,0,0,0.0,0,1,0,0.0%,6.0,2024,80
Elijah Hicks,CHI,0,4,1,25.0%,21.0,21.0,5.3,1.0,88.5,17.0,21.0,0.0,0,0,0,0.0,0,5,0,0.0%,6.0,2024,80
Kyler Gordon,CHI,0,1,1,100.0%,1.0,1.0,1.0,0.0,79.2,-2.0,-2.0,3.0,1,0,0,0.0,0,7,1,12.5%,6.0,2024,80
Austin Booker,CHI,0,1,1,100.0%,13.0,13.0,13.0,0.0,118.7,-2.0,-2.0,15.0,0,0,0,0.0,0,3,0,0.0%,6.0,2024,80
DeMarcus Walker,CHI,0,0,0,,,,,,,,,,0,0,1,1.0,2,4,0,0.0%,6.0,2024,80
Amen Ogbongbemiga,CHI,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,6.0,2024,80
Gervon Dexter,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,6.0,2024,80
Byron Cowart,CHI,0,0,0,,,,,,,,,,0,0,0,0.5,1,2,0,0.0%,6.0,2024,80
Montez Sweat,CHI,0,0,0,,,,,,,,,,0,0,0,0.5,1,3,0,0.0%,6.0,2024,80
Chris Williams,CHI,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,1,50.0%,6.0,2024,80
