#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,TAM 26,8,4:55,74,Touchdown,0,Buccaneers,6.0,2024,85
2,1,7:57,TAM 21,8,3:56,71,Field Goal,0,Buccaneers,6.0,2024,85
3,2,13:43,TAM 24,3,0:39,-17,Punt,0,Buccaneers,6.0,2024,85
4,2,13:04,TAM 25,2,0:40,-7,Interception,0,Buccaneers,6.0,2024,85
5,2,9:00,TAM 28,2,0:19,0,Interception,0,Buccaneers,6.0,2024,85
6,2,8:37,TAM 24,6,2:58,76,Touchdown,0,Buccaneers,6.0,2024,85
7,2,2:47,TAM 30,5,1:06,27,Interception,0,Buccaneers,6.0,2024,85
8,2,0:46,TAM 10,5,0:46,43,End of Half,0,Buccaneers,6.0,2024,85
9,3,12:19,TAM 8,3,1:31,6,Punt,0,Buccaneers,6.0,2024,85
10,3,8:38,TAM 8,7,4:13,92,Touchdown,0,Buccaneers,6.0,2024,85
11,3,3:03,TAM 33,3,2:11,5,Punt,0,Buccaneers,6.0,2024,85
12,4,14:55,TAM 42,5,2:21,58,Touchdown,0,Buccaneers,6.0,2024,85
13,4,11:36,TAM 29,10,6:03,71,Touchdown,0,Buccaneers,6.0,2024,85
14,4,4:19,TAM 36,6,2:24,64,Touchdown,0,Buccaneers,6.0,2024,85
