Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Brock Purdy,SFO,4,19,0,10,6.0,2024,79
Isaac Guerendo,SFO,10,99,0,76,6.0,2024,79
Jordan Mason,SFO,9,73,0,38,6.0,2024,79
Patrick Taylor,SFO,5,16,0,6,6.0,2024,79
Deebo Samuel,SFO,4,15,0,5,6.0,2024,79
Kyle Juszczyk,SFO,1,6,1,6,6.0,2024,79
George Kittle,SFO,0,0,0,0,6.0,2024,79
Brandon Aiyuk,SFO,0,0,0,0,6.0,2024,79
Jauan Jennings,SFO,0,0,0,0,6.0,2024,79
Geno Smith,SEA,1,0,0,0,6.0,2024,79
Kenneth Walker III,SEA,14,32,1,8,6.0,2024,79
Zach Charbonnet,SEA,5,20,0,9,6.0,2024,79
Tyler Lockett,SEA,0,0,0,0,6.0,2024,79
Noah Fant,SEA,0,0,0,0,6.0,2024,79
Jaxon Smith-Njigba,SEA,0,0,0,0,6.0,2024,79
D.K. Metcalf,SEA,0,0,0,0,6.0,2024,79
Jake Bobo,SEA,0,0,0,0,6.0,2024,79
AJ Barner,SEA,0,0,0,0,6.0,2024,79
