#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,IND 30,10,3:43,70,Touchdown,0,Colts,6.0,2024,82
2,1,9:10,IND 36,2,0:48,0,Interception,0,Colts,6.0,2024,82
3,1,6:51,IND 30,3,1:40,1,Punt,0,Colts,6.0,2024,82
4,2,11:09,IND 15,6,3:34,25,Punt,0,Colts,6.0,2024,82
5,2,3:39,IND 29,10,3:20,63,Field Goal,0,Colts,6.0,2024,82
6,3,6:19,IND 30,15,6:22,66,Field Goal,0,Colts,6.0,2024,82
7,4,12:50,IND 25,11,5:23,75,Touchdown,0,Colts,6.0,2024,82
8,4,7:03,IND 26,3,1:29,4,Punt,0,Colts,6.0,2024,82
9,4,4:52,IND 37,3,1:03,3,Punt,0,Colts,6.0,2024,82
10,4,2:18,IND 20,5,2:06,20,Punt,0,Colts,6.0,2024,82
