Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Geno Smith,SEA,18,28,207,2,0,1,6,31,110.3,7.0,2024,96
Jaxon Smith-Njigba,SEA,1,1,35,0,0,0,0,35,118.7,7.0,2024,96
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
Zach Charbonnet,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
Kenny McIntosh,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
Noah Fant,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
AJ Barner,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
Jake Bobo,SEA,0,0,0,0,0,0,0,0,,7.0,2024,96
Kirk Cousins,ATL,24,35,232,1,2,3,32,26,72.6,7.0,2024,96
Michael Penix,ATL,1,1,14,0,0,0,0,14,118.7,7.0,2024,96
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Jase McClellan,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Drake London,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Casey Washington,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,7.0,2024,96
