#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,DET 30,4,2:29,4,Downs,0,Lions,7.0,2024,95
2,1,11:43,DET 30,3,1:33,7,Punt,0,Lions,7.0,2024,95
3,1,5:34,DET 30,3,1:36,5,Punt,0,Lions,7.0,2024,95
4,1,0:51,DET 31,5,2:09,69,Touchdown,0,Lions,7.0,2024,95
5,2,11:24,DET 17,5,2:45,83,Touchdown,0,Lions,7.0,2024,95
6,2,5:39,DET 28,9,5:13,72,Touchdown,0,Lions,7.0,2024,95
7,3,10:42,DET 30,9,4:59,70,Touchdown,0,Lions,7.0,2024,95
8,4,14:24,DET 30,6,4:14,23,Punt,0,Lions,7.0,2024,95
9,4,6:04,DET 30,2,0:14,5,Fumble,0,Lions,7.0,2024,95
10,4,5:50,DET 30,3,1:34,-10,Punt,0,Lions,7.0,2024,95
11,4,2:32,DET 30,8,2:17,44,Field Goal,0,Lions,7.0,2024,95
