Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Broncos to receive the opening kickoff.",,,8.0,2024,121
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Javonte Williams right tackle for 3 yards (tackle by Josey Jewell and Demani Richardson),0.94,0.8,8.0,2024,121
1.0,14:23,2.0,7.0,DEN 33,0.0,0.0,Jaleel McLaughlin right end for 7 yards (tackle by Xavier Woods),0.8,1.6,8.0,2024,121
1.0,13:51,1.0,10.0,DEN 40,0.0,0.0,"Bo Nix pass complete short left to Lil'Jordan Humphrey for 8 yards. Lil'Jordan Humphrey fumbles (forced by Shy Tuttle), recovered by Shy Tuttle at DEN-49",1.6,-2.32,8.0,2024,121
1.0,13:39,1.0,10.0,DEN 49,0.0,0.0,Bryce Young pass complete short right to Miles Sanders for 7 yards (tackle by Jonathon Cooper),2.32,2.73,8.0,2024,121
1.0,12:59,2.0,3.0,DEN 42,0.0,0.0,Chuba Hubbard right end for 8 yards (tackle by Justin Strnad),2.73,3.31,8.0,2024,121
1.0,12:26,1.0,10.0,DEN 34,0.0,0.0,Xavier Legette left end for no gain (tackle by Zach Allen),3.31,2.77,8.0,2024,121
1.0,11:45,2.0,10.0,DEN 34,0.0,0.0,Chuba Hubbard up the middle for 7 yards (tackle by Justin Strnad and Devon Key),2.77,3.01,8.0,2024,121
1.0,11:00,3.0,3.0,DEN 27,0.0,0.0,Miles Sanders right guard for 7 yards (tackle by Zach Allen and Devon Key),3.01,4.24,8.0,2024,121
1.0,10:21,1.0,10.0,DEN 20,0.0,0.0,Bryce Young pass complete short left to Miles Sanders for 5 yards (tackle by Devon Key),4.24,4.45,8.0,2024,121
1.0,9:42,2.0,5.0,DEN 15,0.0,0.0,Bryce Young pass complete short right to Jalen Coker for 8 yards (tackle by Brandon Jones and Riley Moss),4.45,5.6,8.0,2024,121
1.0,9:00,1.0,7.0,DEN 7,0.0,0.0,"Bryce Young pass incomplete short left intended for Jalen Coker. Penalty on Brady Christensen: Offensive Holding, 10 yards (accepted) (no play)",5.6,4.26,8.0,2024,121
1.0,8:47,1.0,17.0,DEN 17,0.0,0.0,Chuba Hubbard left tackle for -2 yards (tackle by Zach Allen),4.26,3.07,8.0,2024,121
1.0,8:03,2.0,19.0,DEN 19,0.0,0.0,Bryce Young pass complete short left to Chuba Hubbard for 13 yards (tackle by Devon Key),3.07,4.04,8.0,2024,121
1.0,7:15,3.0,6.0,DEN 6,6.0,0.0,"Bryce Young pass complete short middle to Xavier Legette for 6 yards, touchdown",4.04,7.0,8.0,2024,121
1.0,7:12,,,DEN 15,7.0,0.0,Eddy Piñeiro kicks extra point good,0.0,0.0,8.0,2024,121
1.0,7:12,,,CAR 35,7.0,0.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,8.0,2024,121
1.0,7:12,1.0,10.0,DEN 30,7.0,0.0,Bo Nix pass complete short middle to Javonte Williams for 2 yards (tackle by Michael Jackson),0.94,0.66,8.0,2024,121
1.0,6:36,2.0,8.0,DEN 32,7.0,0.0,Javonte Williams left end for 5 yards (tackle by Shy Tuttle),0.66,0.63,8.0,2024,121
1.0,6:03,3.0,3.0,DEN 37,7.0,0.0,Bo Nix pass complete short right to Courtland Sutton for 4 yards (tackle by Josey Jewell),0.63,1.66,8.0,2024,121
1.0,5:30,1.0,10.0,DEN 41,7.0,0.0,Javonte Williams up the middle for 4 yards (tackle by LaBryan Ray and Jadeveon Clowney),1.66,1.66,8.0,2024,121
1.0,4:50,2.0,6.0,DEN 45,7.0,0.0,"Bo Nix pass complete short left to Javonte Williams for -1 yards (tackle by Josey Jewell). Penalty on Garett Bolles: Ineligible Downfield Pass, 5 yards (declined)",1.66,0.83,8.0,2024,121
1.0,4:23,3.0,7.0,DEN 44,7.0,0.0,Bo Nix pass complete deep middle to Courtland Sutton for 23 yards (tackle by Michael Jackson and Xavier Woods),0.83,3.38,8.0,2024,121
1.0,3:42,1.0,10.0,CAR 33,7.0,0.0,Jaleel McLaughlin left tackle for 5 yards (tackle by A'Shawn Robinson and Shy Tuttle),3.38,3.51,8.0,2024,121
1.0,3:03,2.0,5.0,CAR 28,7.0,0.0,Bo Nix pass incomplete short right intended for Courtland Sutton (defended by Jaycee Horn),3.51,2.81,8.0,2024,121
1.0,2:56,3.0,5.0,CAR 28,7.0,0.0,Bo Nix sacked by A'Shawn Robinson for -13 yards,2.81,0.53,8.0,2024,121
