Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Penei Sewell,T,48,100%,0,0%,8,24%,1,Lions,8.0,2024,109
Graham Glasgow,G,48,100%,0,0%,8,24%,1,Lions,8.0,2024,109
Kevin Zeitler,G,42,88%,0,0%,8,24%,1,Lions,8.0,2024,109
Frank Ragnow,C,42,88%,0,0%,0,0%,1,Lions,8.0,2024,109
Amon-Ra St. Brown,WR,42,88%,0,0%,0,0%,1,Lions,8.0,2024,109
Taylor Decker,T,42,88%,0,0%,0,0%,1,Lions,8.0,2024,109
Jared Goff,QB,42,88%,0,0%,0,0%,1,Lions,8.0,2024,109
Sam LaPorta,TE,38,79%,0,0%,0,0%,1,Lions,8.0,2024,109
Tim Patrick,WR,37,77%,0,0%,0,0%,1,Lions,8.0,2024,109
David Montgomery,RB,23,48%,0,0%,0,0%,1,Lions,8.0,2024,109
Allen Robinson,WR,21,44%,0,0%,0,0%,1,Lions,8.0,2024,109
Brock Wright,TE,20,42%,0,0%,11,33%,1,Lions,8.0,2024,109
Jahmyr Gibbs,RB,19,40%,0,0%,0,0%,1,Lions,8.0,2024,109
Kalif Raymond,WR,15,31%,0,0%,6,18%,1,Lions,8.0,2024,109
Shane Zylstra,TE,13,27%,0,0%,20,61%,1,Lions,8.0,2024,109
Craig Reynolds,RB,6,13%,0,0%,21,64%,1,Lions,8.0,2024,109
Michael Niese,T,6,13%,0,0%,8,24%,1,Lions,8.0,2024,109
Kayode Awosika,T,6,13%,0,0%,8,24%,1,Lions,8.0,2024,109
Dan Skipper,T,6,13%,0,0%,8,24%,1,Lions,8.0,2024,109
Hendon Hooker,QB,6,13%,0,0%,0,0%,1,Lions,8.0,2024,109
Isaiah Williams,WR,5,10%,0,0%,3,9%,1,Lions,8.0,2024,109
Sione Vaki,RB,1,2%,0,0%,22,67%,1,Lions,8.0,2024,109
Kerby Joseph,FS,0,0%,76,100%,3,9%,1,Lions,8.0,2024,109
Jack Campbell,LB,0,0%,72,95%,15,45%,1,Lions,8.0,2024,109
Alex Anzalone,LB,0,0%,72,95%,1,3%,1,Lions,8.0,2024,109
Carlton Davis,CB,0,0%,59,78%,1,3%,1,Lions,8.0,2024,109
Brian Branch,SS,0,0%,59,78%,1,3%,1,Lions,8.0,2024,109
Terrion Arnold,CB,0,0%,56,74%,1,3%,1,Lions,8.0,2024,109
Al-Quadin Muhammad,DE,0,0%,49,64%,1,3%,1,Lions,8.0,2024,109
Alim McNeill,DT,0,0%,45,59%,3,9%,1,Lions,8.0,2024,109
Levi Onwuzurike,DE,0,0%,44,58%,2,6%,1,Lions,8.0,2024,109
Trevor Nowaske,LB,0,0%,39,51%,24,73%,1,Lions,8.0,2024,109
D.J. Reader,NT,0,0%,39,51%,1,3%,1,Lions,8.0,2024,109
Isaiah Thomas,LB,0,0%,38,50%,0,0%,1,Lions,8.0,2024,109
Pat O'Connor,DE,0,0%,31,41%,14,42%,1,Lions,8.0,2024,109
Mekhi Wingo,DT,0,0%,30,39%,2,6%,1,Lions,8.0,2024,109
Amik Robertson,CB,0,0%,28,37%,0,0%,1,Lions,8.0,2024,109
James Houston,DE,0,0%,19,25%,13,39%,1,Lions,8.0,2024,109
Brandon Joseph,SS,0,0%,17,22%,7,21%,1,Lions,8.0,2024,109
Khalil Dorsey,CB,0,0%,15,20%,24,73%,1,Lions,8.0,2024,109
Jalen Reeves-Maybin,LB,0,0%,14,18%,25,76%,1,Lions,8.0,2024,109
Ennis Rakestraw,CB,0,0%,14,18%,14,42%,1,Lions,8.0,2024,109
Kindle Vildor,CB,0,0%,13,17%,12,36%,1,Lions,8.0,2024,109
Ben Niemann,LB,0,0%,7,9%,22,67%,1,Lions,8.0,2024,109
Jake Bates,K,0,0%,0,0%,17,52%,1,Lions,8.0,2024,109
Hogan Hatten,LS,0,0%,0,0%,13,39%,1,Lions,8.0,2024,109
Jack Fox,P,0,0%,0,0%,13,39%,1,Lions,8.0,2024,109
Malcolm Rodriguez,LB,0,0%,0,0%,3,9%,1,Lions,8.0,2024,109
