Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,week,year,game_id
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,,,
Dayo Odeyingbo,IND,0,0,0,0,0,1.0,4,3,1,3,3,1,0,0,1,8.0,2024,113
DeForest Buckner,IND,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0,8.0,2024,113
Zaire Franklin,IND,0,0,0,0,0,0.0,11,7,4,1,0,0,0,0,0,8.0,2024,113
E.J. Speed,IND,0,0,0,0,1,0.0,10,5,5,1,0,0,0,0,0,8.0,2024,113
Julian Blackmon,IND,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0,8.0,2024,113
Nick Cross,IND,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,8.0,2024,113
Kenny Moore,IND,0,0,0,0,0,0.0,7,6,1,2,0,0,0,0,0,8.0,2024,113
Jaylon Jones,IND,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0,8.0,2024,113
Grover Stewart,IND,0,0,0,0,0,0.0,6,3,3,2,1,0,0,0,0,8.0,2024,113
Adam Gotsis,IND,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0,8.0,2024,113
Segun Olubi,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,8.0,2024,113
Grant Stuard,IND,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,8.0,2024,113
Ashton Dulin,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,8.0,2024,113
Kwity Paye,IND,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0,8.0,2024,113
Samuel Womack,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,8.0,2024,113
Laiatu Latu,IND,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,8.0,2024,113
Anthony Richardson,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,8.0,2024,113
Jalen Pitre,HOU,1,10,0,10,1,0.0,4,3,1,1,0,0,0,0,0,8.0,2024,113
Danielle Hunter,HOU,0,0,0,0,0,2.0,2,2,0,2,3,0,0,0,0,8.0,2024,113
Will Anderson,HOU,0,0,0,0,0,1.0,7,5,2,1,1,1,0,0,0,8.0,2024,113
Tim Settle,HOU,0,0,0,0,0,1.0,3,3,0,1,2,0,0,0,0,8.0,2024,113
Jake Hansen,HOU,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,0,8.0,2024,113
Eric Murray,HOU,0,0,0,0,3,0.0,7,5,2,0,0,0,0,0,0,8.0,2024,113
Neville Hewitt,HOU,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,1,8.0,2024,113
Calen Bullock,HOU,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,8.0,2024,113
Kamari Lassiter,HOU,0,0,0,0,3,0.0,3,2,1,0,0,0,0,0,0,8.0,2024,113
Derek Stingley Jr.,HOU,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,8.0,2024,113
Devin White,HOU,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,8.0,2024,113
Kurt Hinish,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,8.0,2024,113
Cade Stover,HOU,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,8.0,2024,113
Derek Barnett,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,8.0,2024,113
Folorunso Fatukasi,HOU,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0,8.0,2024,113
Dylan Horton,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,8.0,2024,113
Dare Ogunbowale,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,8.0,2024,113
D'Angelo Ross,HOU,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,8.0,2024,113
Denico Autry,HOU,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,8.0,2024,113
