Player,Pos,home_team,team,week,year,game_id
Aaron Rodgers,QB,0,Jets,8.0,2024,116
Breece Hall,RB,0,Jets,8.0,2024,116
Davante Adams,WR,0,Jets,8.0,2024,116
Garrett Wilson,WR,0,Jets,8.0,2024,116
Tyler Conklin,TE,0,Jets,8.0,2024,116
Jeremy Ruckert,TE,0,Jets,8.0,2024,116
Jake Hanson,OL,0,Jets,8.0,2024,116
Tyron Smith,OL,0,Jets,8.0,2024,116
Morgan Moses,OL,0,Jets,8.0,2024,116
John Simpson,OL,0,Jets,8.0,2024,116
Joe Tippmann,C,0,Jets,8.0,2024,116
Micheal Clemons,DL,0,Jets,8.0,2024,116
Quinnen Williams,DL,0,Jets,8.0,2024,116
Will McDonald,DE,0,Jets,8.0,2024,116
Javon Kinlaw,DT,0,Jets,8.0,2024,116
Jamien Sherwood,LB,0,Jets,8.0,2024,116
Chazz Surratt,LB,0,Jets,8.0,2024,116
Quincy Williams,LB,0,Jets,8.0,2024,116
D.J. Reed,CB,0,Jets,8.0,2024,116
Isaiah Oliver,CB,0,Jets,8.0,2024,116
Sauce Gardner,CB,0,Jets,8.0,2024,116
Jalen Mills,S,0,Jets,8.0,2024,116
