Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Rome Odunze,CHI,6,3,41,0,2.0,25,8.3,16,5.3,21.0,0,,0,0.0,0,72.2,8.0,2024,119
Keenan Allen,CHI,7,2,39,0,2.0,26,13.0,13,6.5,13.7,0,,0,0.0,0,50.3,8.0,2024,119
D.J. Moore,CHI,4,2,27,0,1.0,27,13.5,0,0.0,9.8,0,,0,0.0,0,71.9,8.0,2024,119
DeAndre Carter,CHI,1,1,7,0,,6,6.0,1,1.0,6.0,0,,0,0.0,0,95.8,8.0,2024,119
Gerald Everett,CHI,2,1,3,0,,1,1.0,2,2.0,2.0,0,,0,0.0,0,56.2,8.0,2024,119
Cole Kmet,CHI,1,1,14,0,1.0,7,7.0,7,7.0,7.0,0,,0,0.0,0,118.7,8.0,2024,119
Marcedes Lewis,CHI,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6,8.0,2024,119
Zach Ertz,WAS,11,7,77,0,6.0,63,9.0,14,2.0,9.5,0,,0,0.0,0,84.3,8.0,2024,119
Terry McLaurin,WAS,8,5,125,0,5.0,104,20.8,21,4.2,22.0,0,,0,0.0,0,106.2,8.0,2024,119
Noah Brown,WAS,6,3,73,1,2.0,73,24.3,0,0.0,20.7,0,,1,16.7,0,134.0,8.0,2024,119
Austin Ekeler,WAS,3,2,6,0,0.0,-8,-4.0,14,7.0,-1.0,0,,1,33.3,0,70.1,8.0,2024,119
John Bates,WAS,2,1,20,0,1.0,1,1.0,19,19.0,3.5,1,1.0,0,0.0,0,85.4,8.0,2024,119
Dyami Brown,WAS,1,1,6,0,,-4,-4.0,10,10.0,-4.0,0,,0,0.0,0,91.7,8.0,2024,119
Luke McCaffrey,WAS,2,1,8,0,,1,1.0,7,7.0,4.5,0,,0,0.0,0,60.4,8.0,2024,119
Brian Robinson Jr.,WAS,1,1,11,0,1.0,-6,-6.0,17,17.0,-6.0,0,,0,0.0,0,112.5,8.0,2024,119
