Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
D'Andre Swift,CHI,6,6,31,0,1.0,9,1.5,22,3.7,1.5,0,,0,0.0,0,88.2,9.0,2024,133
Rome Odunze,CHI,7,5,104,0,4.0,78,15.6,26,5.2,15.4,0,,1,14.3,0,113.7,9.0,2024,133
Keenan Allen,CHI,10,4,36,0,3.0,32,8.0,4,1.0,13.1,0,,1,10.0,0,50.4,9.0,2024,133
D.J. Moore,CHI,9,4,33,0,2.0,17,4.3,16,4.0,12.6,0,,0,0.0,0,54.4,9.0,2024,133
Roschon Johnson,CHI,3,2,8,0,,-2,-1.0,10,5.0,-0.7,0,,0,0.0,0,70.1,9.0,2024,133
Gerald Everett,CHI,1,1,5,0,,-4,-4.0,9,9.0,-4.0,1,1.0,0,0.0,0,87.5,9.0,2024,133
James Conner,ARI,3,3,12,0,0.0,-5,-1.7,17,5.7,-1.7,0,,0,0.0,0,83.3,9.0,2024,133
Trey McBride,ARI,4,3,35,0,2.0,20,6.7,15,5.0,5.3,0,,0,0.0,0,101.0,9.0,2024,133
Emari Demercado,ARI,2,2,21,0,2.0,-7,-3.5,28,14.0,-3.5,0,,0,0.0,0,110.4,9.0,2024,133
Marvin Harrison Jr.,ARI,5,2,34,0,,31,15.5,3,1.5,18.2,0,,0,0.0,0,63.7,9.0,2024,133
Elijah Higgins,ARI,2,2,34,0,2.0,15,7.5,19,9.5,7.5,0,,0,0.0,0,118.7,9.0,2024,133
Trey Benson,ARI,1,1,18,0,1.0,4,4.0,14,14.0,4.0,0,,0,0.0,0,118.7,9.0,2024,133
Greg Dortch,ARI,1,0,0,0,,0,,0,,4.0,0,,1,100.0,0,39.6,9.0,2024,133
Michael Wilson,ARI,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6,9.0,2024,133
