Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Caleb Williams,CHI,4,5,0,2,9.0,2024,133
D'Andre Swift,CHI,16,51,0,13,9.0,2024,133
Roschon Johnson,CHI,3,13,0,7,9.0,2024,133
Rome Odunze,CHI,0,0,0,0,9.0,2024,133
Keenan Allen,CHI,0,0,0,0,9.0,2024,133
D.J. Moore,CHI,0,0,0,0,9.0,2024,133
Gerald Everett,CHI,0,0,0,0,9.0,2024,133
Kyler Murray,ARI,2,6,0,6,9.0,2024,133
James Conner,ARI,18,107,0,16,9.0,2024,133
Emari Demercado,ARI,4,59,1,53,9.0,2024,133
Trey Benson,ARI,8,37,1,17,9.0,2024,133
Trey McBride,ARI,1,2,1,2,9.0,2024,133
DeeJay Dallas,ARI,1,2,0,2,9.0,2024,133
Elijah Higgins,ARI,0,0,0,0,9.0,2024,133
Marvin Harrison Jr.,ARI,0,0,0,0,9.0,2024,133
Greg Dortch,ARI,0,0,0,0,9.0,2024,133
Michael Wilson,ARI,0,0,0,0,9.0,2024,133
