#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,14:30,DEN 36,3,2:18,-6,Punt,1,Ravens,9.0,2024,130
2,1,6:17,BAL 43,7,3:59,57,Touchdown,1,Ravens,9.0,2024,130
3,2,14:55,BAL 33,5,2:51,52,Field Goal,1,Ravens,9.0,2024,130
4,2,7:15,BAL 37,7,3:28,63,Touchdown,1,Ravens,9.0,2024,130
5,2,0:54,BAL 30,2,0:38,70,Touchdown,1,Ravens,9.0,2024,130
6,3,15:00,BAL 30,11,5:24,70,Touchdown,1,Ravens,9.0,2024,130
7,3,7:32,BAL 21,10,6:11,79,Touchdown,1,Ravens,9.0,2024,130
8,3,0:04,DEN 39,5,2:15,20,Field Goal,1,Ravens,9.0,2024,130
9,4,8:09,BAL 15,3,2:52,5,Punt,1,Ravens,9.0,2024,130
10,4,1:55,BAL 1,3,1:55,2,End of Game,1,Ravens,9.0,2024,130
