Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Tristan Wirfs,T,55,100%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Ben Bredeson,G,55,100%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Luke Goedeke,G,55,100%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Cody Mauch,G,55,100%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Graham Barton,C,55,100%,0,0%,0,0%,0,Buccaneers,9.0,2024,138
Baker Mayfield,QB,55,100%,0,0%,0,0%,0,Buccaneers,9.0,2024,138
Cade Otton,TE,54,98%,0,0%,0,0%,0,Buccaneers,9.0,2024,138
Rakim Jarrett,WR,46,84%,0,0%,2,7%,0,Buccaneers,9.0,2024,138
Ryan Miller,WR,34,62%,0,0%,5,18%,0,Buccaneers,9.0,2024,138
Rachaad White,RB,34,62%,0,0%,0,0%,0,Buccaneers,9.0,2024,138
Sterling Shepard,WR,33,60%,0,0%,0,0%,0,Buccaneers,9.0,2024,138
Trey Palmer,WR,27,49%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Bucky Irving,RB,19,35%,0,0%,5,18%,0,Buccaneers,9.0,2024,138
Payne Durham,TE,16,29%,0,0%,11,39%,0,Buccaneers,9.0,2024,138
Sean Tucker,RB,7,13%,0,0%,12,43%,0,Buccaneers,9.0,2024,138
Marquez Callaway,WR,3,5%,0,0%,0,0%,0,Buccaneers,9.0,2024,138
Ko Kieft,TE,2,4%,0,0%,18,64%,0,Buccaneers,9.0,2024,138
Zyon McCollum,CB,0,0%,85,100%,12,43%,0,Buccaneers,9.0,2024,138
Lavonte David,LB,0,0%,85,100%,0,0%,0,Buccaneers,9.0,2024,138
Antoine Winfield Jr.,FS,0,0%,84,99%,0,0%,0,Buccaneers,9.0,2024,138
Jordan Whitehead,SS,0,0%,80,94%,0,0%,0,Buccaneers,9.0,2024,138
Josh Hayes,CB,0,0%,79,93%,5,18%,0,Buccaneers,9.0,2024,138
Tykee Smith,SS,0,0%,72,85%,5,18%,0,Buccaneers,9.0,2024,138
YaYa Diaby,LB,0,0%,61,72%,6,21%,0,Buccaneers,9.0,2024,138
Vita Vea,NT,0,0%,60,71%,6,21%,0,Buccaneers,9.0,2024,138
Calijah Kancey,DE,0,0%,58,68%,0,0%,0,Buccaneers,9.0,2024,138
Joe Tryon-Shoyinka,LB,0,0%,54,64%,0,0%,0,Buccaneers,9.0,2024,138
K.J. Britt,LB,0,0%,46,54%,11,39%,0,Buccaneers,9.0,2024,138
Anthony Nelson,LB,0,0%,33,39%,26,93%,0,Buccaneers,9.0,2024,138
J.J. Russell,LB,0,0%,31,36%,22,79%,0,Buccaneers,9.0,2024,138
Logan Hall,DE,0,0%,30,35%,6,21%,0,Buccaneers,9.0,2024,138
C.J. Brewer,DT,0,0%,27,32%,0,0%,0,Buccaneers,9.0,2024,138
Chris Braswell,LB,0,0%,26,31%,11,39%,0,Buccaneers,9.0,2024,138
William Gholston,DE,0,0%,11,13%,6,21%,0,Buccaneers,9.0,2024,138
Tyrek Funderburk,CB,0,0%,5,6%,3,11%,0,Buccaneers,9.0,2024,138
Vi Jones,LB,0,0%,3,4%,13,46%,0,Buccaneers,9.0,2024,138
Earnest Brown IV,DE,0,0%,3,4%,0,0%,0,Buccaneers,9.0,2024,138
Christian Izien,SS,0,0%,2,2%,7,25%,0,Buccaneers,9.0,2024,138
Kaevon Merriweather,FS,0,0%,0,0%,24,86%,0,Buccaneers,9.0,2024,138
Tavierre Thomas,CB,0,0%,0,0%,24,86%,0,Buccaneers,9.0,2024,138
Trenton Gill,P,0,0%,0,0%,15,54%,0,Buccaneers,9.0,2024,138
Zach Triner,LS,0,0%,0,0%,9,32%,0,Buccaneers,9.0,2024,138
Keenan Isaac,CB,0,0%,0,0%,8,29%,0,Buccaneers,9.0,2024,138
Justin Skule,T,0,0%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Chase McLaughlin,K,0,0%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Elijah Klein,G,0,0%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
Robert Hainsey,C,0,0%,0,0%,4,14%,0,Buccaneers,9.0,2024,138
