Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jayden Daniels,WAS,0,0,9.0,2024,132
Chris Rodriguez,WAS,0,0,9.0,2024,132
Austin Ekeler,WAS,0,0,9.0,2024,132
Jeremy McNichols,WAS,0,0,9.0,2024,132
Noah Brown,WAS,0,0,9.0,2024,132
Olamide Zaccheaus,WAS,0,0,9.0,2024,132
Dyami Brown,WAS,0,0,9.0,2024,132
Terry McLaurin,WAS,0,0,9.0,2024,132
Ben Sinnott,WAS,0,0,9.0,2024,132
Zach Ertz,WAS,0,0,9.0,2024,132
Daniel Jones,NYG,1,1,9.0,2024,132
Tyrone Tracy Jr.,NYG,0,0,9.0,2024,132
Devin Singletary,NYG,0,0,9.0,2024,132
Darius Slayton,NYG,0,0,9.0,2024,132
Malik Nabers,NYG,0,0,9.0,2024,132
Theo Johnson,NYG,0,0,9.0,2024,132
Wan'Dale Robinson,NYG,0,0,9.0,2024,132
Chris Manhertz,NYG,0,0,9.0,2024,132
