Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
C.J. Stroud,HOU,1,0,0,0,0,9.0,2024,124
Joe Mixon,HOU,0,0,0,0,0,9.0,2024,124
J.J. Taylor,HOU,0,0,0,0,0,9.0,2024,124
Tank Dell,HOU,9,6,126,0,50,9.0,2024,124
Robert Woods,HOU,3,2,44,0,32,9.0,2024,124
Dalton Schultz,HOU,6,3,21,0,8,9.0,2024,124
Xavier Hutchinson,HOU,3,0,0,0,0,9.0,2024,124
John Metchie,HOU,2,0,0,0,0,9.0,2024,124
Cade Stover,HOU,2,0,0,0,0,9.0,2024,124
Dare Ogunbowale,HOU,3,0,0,0,0,9.0,2024,124
Aaron Rodgers,NYJ,0,0,0,0,0,9.0,2024,124
Breece Hall,NYJ,4,2,11,0,13,9.0,2024,124
Malachi Corley,NYJ,0,0,0,0,0,9.0,2024,124
Braelon Allen,NYJ,1,0,0,0,0,9.0,2024,124
Davante Adams,NYJ,11,7,91,1,37,9.0,2024,124
Garrett Wilson,NYJ,10,9,90,2,26,9.0,2024,124
Kenny Yeboah,NYJ,1,1,12,0,12,9.0,2024,124
Mike Williams,NYJ,2,1,6,0,6,9.0,2024,124
Jeremy Ruckert,NYJ,1,1,4,0,4,9.0,2024,124
Tyler Conklin,NYJ,2,1,-3,0,-3,9.0,2024,124
