Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Team,Draft Team,Draft Round,Draft Pick,Draft Year
Matthew Adams,29.0,LB,13,0.0,230.0,72,Houston,12/12/1995,6,1.0,New York Giants,Indianapolis Colts,7.0,221.0,2018.0
Deonte Banks,23.0,RCB,14,14.0,200.0,74,Maryland,3/3/2001,1,5.0,New York Giants,New York Giants,1.0,24.0,2023.0
Boogie Basham,27.0,OLB,4,0.0,274.0,75,Wake Forest,12/16/1997,3,0.0,New York Giants,Buffalo Bills,2.0,61.0,2021.0
Daniel Bellinger,24.0,TE,17,8.0,255.0,78,San Diego St.,9/22/2000,2,1.0,New York Giants,New York Giants,4.0,112.0,2022.0
Dane Belton,24.0,S,17,6.0,190.0,73,Iowa,12/7/2000,2,3.0,New York Giants,New York Giants,4.0,114.0,2022.0
Curtis Bolton,29.0,LB,1,0.0,228.0,72,Oklahoma,12/18/1995,3,0.0,New York Giants,,,,
Tim Boyle,30.0,QB,1,0.0,233.0,76,"Connecticut,Eastern Kentucky",10/3/1994,5,0.0,New York Giants,,,,
Brian Burns,26.0,LOLB,17,17.0,250.0,77,Florida St.,4/23/1998,5,8.0,New York Giants,Carolina Panthers,1.0,16.0,2019.0
Elijah Chatman,24.0,DT,17,3.0,278.0,72,SMU,12/5/2000,0,3.0,New York Giants,,,,
Carter Coughlin,27.0,LB,1,0.0,240.0,75,Minnesota,7/20/1997,4,0.0,New York Giants,New York Giants,7.0,218.0,2020.0
D.J. Davidson,25.0,DL,12,2.0,320.0,77,Arizona St.,12/16/1999,2,2.0,New York Giants,New York Giants,5.0,147.0,2022.0
Tommy DeVito,26.0,QB,3,2.0,210.0,74,"Syracuse,Illinois",8/7/1998,1,1.0,New York Giants,,,,
Greg Dulcich,24.0,TE,5,0.0,245.0,76,UCLA,3/26/2000,2,0.0,New York Giants,Denver Broncos,3.0,80.0,2022.0
Cory Durden,25.0,NT,4,0.0,316.0,76,"Florida St.,North Carolina St.",1/26/1999,1,0.0,New York Giants,,,,
Jermaine Eluemunor,30.0,RT,15,15.0,338.0,76,"Lackawanna,Texas A&M",12/13/1994,7,5.0,New York Giants,Baltimore Ravens,5.0,159.0,2017.0
Joshua Ezeudu,25.0,OL,17,3.0,310.0,76,North Carolina,9/19/1999,2,2.0,New York Giants,New York Giants,3.0,67.0,2022.0
Cordale Flott,23.0,LCB,14,10.0,175.0,74,LSU,8/24/2001,2,4.0,New York Giants,New York Giants,3.0,81.0,2022.0
Bryce Ford-Wheaton,24.0,WR,14,0.0,220.0,75,West Virginia,3/9/2000,1,0.0,New York Giants,,,,
Tomon Fox,26.0,OLB,11,0.0,245.0,74,North Carolina,3/16/1998,2,1.0,New York Giants,,,,
Graham Gano,37.0,K,10,0.0,202.0,74,Florida St.,4/9/1987,15,1.0,New York Giants,,,,
Elijah Garcia,26.0,DL,5,3.0,302.0,77,Rice,3/11/1998,2,2.0,New York Giants,,,,
Jamie Gillan,27.0,P,13,0.0,207.0,73,Ark-Pine Bluff,7/4/1997,5,2.0,New York Giants,,,,
Eric Gray,25.0,RB,17,0.0,211.0,70,"Tennessee,Oklahoma",11/4/1999,1,1.0,New York Giants,New York Giants,5.0,172.0,2023.0
Art Green,24.0,CB,9,0.0,201.0,73,"Hutchinson (KS),Houston",4/29/2000,1,1.0,New York Giants,,,,
Matt Haack,30.0,P,4,0.0,205.0,72,Arizona St.,7/25/1994,7,1.0,New York Giants,,,,
Tre Hawkins,24.0,CB,3,1.0,195.0,75,"Trinity Valley CC (TX),Old Dominion",8/1/2000,1,1.0,New York Giants,New York Giants,6.0,209.0,2023.0
Isaiah Hodgins,26.0,WR,3,0.0,200.0,75,Oregon St.,10/21/1998,3,0.0,New York Giants,Buffalo Bills,6.0,207.0,2020.0
Chris Hubbard,33.0,OT,8,3.0,295.0,76,Ala-Birmingham,4/23/1991,10,1.0,New York Giants,,,,
Jalin Hyatt,23.0,WR,16,3.0,185.0,72,Tennessee,9/25/2001,1,0.0,New York Giants,New York Giants,3.0,73.0,2023.0
Adoree' Jackson,29.0,CB,14,5.0,185.0,71,USC,9/18/1995,7,3.0,New York Giants,Tennessee Titans,1.0,18.0,2017.0
Anthony Johnson,25.0,S,9,0.0,205.0,72,Iowa St.,12/2/1999,1,1.0,New York Giants,Green Bay Packers,7.0,242.0,2023.0
Dyontae Johnson,24.0,LB,2,0.0,230.0,74,Toledo,9/28/2000,1,0.0,New York Giants,,,,
Jakob Johnson,30.0,FB,3,1.0,255.0,75,Tennessee,12/15/1994,5,0.0,New York Giants,,,,
Patrick Johnson,26.0,OLB,12,0.0,248.0,74,Tulane,1/10/1998,3,1.0,New York Giants,Philadelphia Eagles,7.0,234.0,2021.0
Theo Johnson,23.0,TE,12,11.0,264.0,78,Penn St.,2/26/2001,0,2.0,New York Giants,New York Giants,4.0,107.0,2024.0
Daniel Jones,27.0,QB,10,10.0,230.0,77,Duke,5/27/1997,5,5.0,New York Giants,New York Giants,1.0,6.0,2019.0
Greg Joseph,30.0,K,6,0.0,206.0,72,Florida Atlantic,8/4/1994,6,1.0,New York Giants,,,,
Casey Kreiter,34.0,LS,17,0.0,250.0,73,Iowa,8/13/1990,8,1.0,New York Giants,,,,
