Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Patrick Mahomes,KAN,0,0,0,0,0,1,2025,2
Isiah Pacheco,KAN,3,2,3,0,4,1,2025,2
Kareem Hunt,KAN,3,2,10,0,6,1,2025,2
Marquise Brown,KAN,16,10,99,0,49,1,2025,2
JuJu Smith-Schuster,KAN,5,5,55,0,16,1,2025,2
Travis Kelce,KAN,4,2,47,1,37,1,2025,2
Tyquan Thornton,KAN,4,2,41,0,38,1,2025,2
Noah Gray,KAN,1,1,3,0,3,1,2025,2
Jason Brownlee,KAN,1,0,0,0,0,1,2025,2
Xavier Worthy,KAN,1,0,0,0,0,1,2025,2
Justin Herbert,LAC,0,0,0,0,0,1,2025,2
Omarion Hampton,LAC,2,2,13,0,7,1,2025,2
Najee Harris,LAC,1,1,5,0,5,1,2025,2
Derius Davis,LAC,0,0,0,0,0,1,2025,2
Tyler Conklin,LAC,2,2,50,0,33,1,2025,2
Quentin Johnston,LAC,7,5,79,2,33,1,2025,2
Ladd McConkey,LAC,9,6,74,0,23,1,2025,2
Keenan Allen,LAC,10,7,68,1,15,1,2025,2
Will Dissly,LAC,1,1,18,0,18,1,2025,2
Tre Harris,LAC,1,1,11,0,11,1,2025,2
KeAndre Lambert-Smith,LAC,1,0,0,0,0,1,2025,2
