Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Laken Tomlinson,G,63,100%,0,0%,3,15%,0,Texans,1,2025,14
Tytus Howard,T,63,100%,0,0%,3,15%,0,Texans,1,2025,14
Aireontae Ersery,T,63,100%,0,0%,3,15%,0,Texans,1,2025,14
C.J. Stroud,QB,63,100%,0,0%,0,0%,0,Texans,1,2025,14
Cam Robinson,T,59,94%,0,0%,3,15%,0,Texans,1,2025,14
Nico Collins,WR,53,84%,0,0%,0,0%,0,Texans,1,2025,14
Jake Andrews,C,45,71%,0,0%,0,0%,0,Texans,1,2025,14
Xavier Hutchinson,WR,43,68%,0,0%,0,0%,0,Texans,1,2025,14
Cade Stover,TE,36,57%,0,0%,4,20%,0,Texans,1,2025,14
Justin Watson,WR,35,56%,0,0%,7,35%,0,Texans,1,2025,14
Dalton Schultz,TE,34,54%,0,0%,0,0%,0,Texans,1,2025,14
Nick Chubb,RB,32,51%,0,0%,0,0%,0,Texans,1,2025,14
Jayden Higgins,WR,27,43%,0,0%,0,0%,0,Texans,1,2025,14
Jarrett Patterson,C,18,29%,0,0%,3,15%,0,Texans,1,2025,14
Dare Ogunbowale,RB,17,27%,0,0%,14,70%,0,Texans,1,2025,14
Jaylin Noel,WR,17,27%,0,0%,5,25%,0,Texans,1,2025,14
Jakob Johnson,FB,7,11%,0,0%,8,40%,0,Texans,1,2025,14
Dameon Pierce,RB,7,11%,0,0%,3,15%,0,Texans,1,2025,14
Woody Marks,RB,7,11%,0,0%,0,0%,0,Texans,1,2025,14
Blake Fisher,T,4,6%,0,0%,3,15%,0,Texans,1,2025,14
Calen Bullock,S,0,0%,60,100%,3,15%,0,Texans,1,2025,14
Azeez Al-Shaair,LB,0,0%,60,100%,0,0%,0,Texans,1,2025,14
Kamari Lassiter,CB,0,0%,60,100%,0,0%,0,Texans,1,2025,14
C.J. Gardner-Johnson,S,0,0%,60,100%,0,0%,0,Texans,1,2025,14
Henry To'oTo'o,LB,0,0%,57,95%,0,0%,0,Texans,1,2025,14
Jalen Pitre,S,0,0%,55,92%,0,0%,0,Texans,1,2025,14
Derek Stingley Jr.,CB,0,0%,55,92%,0,0%,0,Texans,1,2025,14
Danielle Hunter,DE,0,0%,45,75%,1,5%,0,Texans,1,2025,14
Will Anderson,DE,0,0%,44,73%,3,15%,0,Texans,1,2025,14
Sheldon Rankins,DT,0,0%,43,72%,1,5%,0,Texans,1,2025,14
Tim Settle,DT,0,0%,32,53%,3,15%,0,Texans,1,2025,14
Mario Edwards,DT,0,0%,24,40%,2,10%,0,Texans,1,2025,14
Folorunso Fatukasi,DT,0,0%,21,35%,0,0%,0,Texans,1,2025,14
Derek Barnett,DE,0,0%,15,25%,2,10%,0,Texans,1,2025,14
Darrell Taylor,DE,0,0%,11,18%,3,15%,0,Texans,1,2025,14
Jaylin Smith,CB,0,0%,5,8%,17,85%,0,Texans,1,2025,14
Dylan Horton,DE,0,0%,5,8%,13,65%,0,Texans,1,2025,14
Christian Harris,LB,0,0%,5,8%,6,30%,0,Texans,1,2025,14
E.J. Speed,LB,0,0%,3,5%,17,85%,0,Texans,1,2025,14
Tremon Smith,CB,0,0%,0,0%,17,85%,0,Texans,1,2025,14
M.J. Stewart,S,0,0%,0,0%,17,85%,0,Texans,1,2025,14
Jake Hansen,LB,0,0%,0,0%,17,85%,0,Texans,1,2025,14
Jamal Hill,LB,0,0%,0,0%,16,80%,0,Texans,1,2025,14
Austin Brinkman,LS,0,0%,0,0%,7,35%,0,Texans,1,2025,14
Tommy Townsend,P,0,0%,0,0%,7,35%,0,Texans,1,2025,14
Ka'imi Fairbairn,K,0,0%,0,0%,6,30%,0,Texans,1,2025,14
Juice Scruggs,C,0,0%,0,0%,3,15%,0,Texans,1,2025,14
